primaryKey,gridType,gameId,gameEventId,playerId,playerName,teamId,teamName,period,minutesRemaining,secondsRemaining,eventType,actionType,shotZoneBasic,shotZoneArea,shotZoneRange,shotType,shotDistance,xCoordinate,yCoordinate,shotAttemptedFlag,shotMadeFlag,gameDate,homeTeam,awayTeam,season,dt
0021600339_65_1626179,"Shot Chart Detail",0021600339,65,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,3,5,"Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",2,-25,-1,1,1,20161209,BOS,TOR,2016-17,2017-09-27T12:17:56.855
0021600339_84_1626179,"Shot Chart Detail",0021600339,84,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,1,15,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-225,129,1,0,20161209,BOS,TOR,2016-17,2017-09-27T12:17:56.855
0021600339_87_1626179,"Shot Chart Detail",0021600339,87,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,0,52,"Missed Shot","Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,2,16,1,0,20161209,BOS,TOR,2016-17,2017-09-27T12:17:56.855
0021600339_92_1626179,"Shot Chart Detail",0021600339,92,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,0,38,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,176,190,1,0,20161209,BOS,TOR,2016-17,2017-09-27T12:17:56.855
0021600357_116_1626179,"Shot Chart Detail",0021600357,116,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,10,4,"Missed Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"Less Than 8 ft.",7,73,28,1,0,20161211,OKC,BOS,2016-17,2017-09-27T12:17:56.855
0021600357_154_1626179,"Shot Chart Detail",0021600357,154,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,7,8,"Missed Shot","Pullup Jump shot","2PT Field Goal",Mid-Range,"Right Side(R)","16-24 ft.",19,192,41,1,0,20161211,OKC,BOS,2016-17,2017-09-27T12:17:56.855
0021600357_176_1626179,"Shot Chart Detail",0021600357,176,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,4,59,"Missed Shot","Putback Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",2,17,16,1,0,20161211,OKC,BOS,2016-17,2017-09-27T12:17:56.855
0021600357_299_1626179,"Shot Chart Detail",0021600357,299,1626179,"Terry Rozier",1610612738,"Boston Celtics",3,3,51,"Missed Shot","Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,-6,7,1,0,20161211,OKC,BOS,2016-17,2017-09-27T12:17:56.855
0021600357_329_1626179,"Shot Chart Detail",0021600357,329,1626179,"Terry Rozier",1610612738,"Boston Celtics",3,2,10,"Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3",Center(C),"24+ ft.",24,-25,242,1,0,20161211,OKC,BOS,2016-17,2017-09-27T12:17:56.855
0021600357_343_1626179,"Shot Chart Detail",0021600357,343,1626179,"Terry Rozier",1610612738,"Boston Celtics",3,0,40,"Missed Shot","Step Back Jump shot","2PT Field Goal",Mid-Range,"Right Side(R)","8-16 ft.",13,102,90,1,0,20161211,OKC,BOS,2016-17,2017-09-27T12:17:56.855
0021600357_356_1626179,"Shot Chart Detail",0021600357,356,1626179,"Terry Rozier",1610612738,"Boston Celtics",3,0,0,"Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Back Court(BC)","Back Court Shot",40,86,400,1,0,20161211,OKC,BOS,2016-17,2017-09-27T12:17:56.855
0021600357_427_1626179,"Shot Chart Detail",0021600357,427,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,6,7,"Made Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"8-16 ft.",12,1,124,1,1,20161211,OKC,BOS,2016-17,2017-09-27T12:17:56.855
0021600357_441_1626179,"Shot Chart Detail",0021600357,441,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,4,7,"Missed Shot","Jump Shot","2PT Field Goal",Mid-Range,"Right Side(R)","8-16 ft.",10,81,61,1,0,20161211,OKC,BOS,2016-17,2017-09-27T12:17:56.855
0021600357_51_1626179,"Shot Chart Detail",0021600357,51,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,5,4,"Missed Shot","Pullup Jump shot","2PT Field Goal",Mid-Range,"Right Side(R)","8-16 ft.",14,101,100,1,0,20161211,OKC,BOS,2016-17,2017-09-27T12:17:56.855
0021600357_87_1626179,"Shot Chart Detail",0021600357,87,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,1,6,"Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,6,8,1,1,20161211,OKC,BOS,2016-17,2017-09-27T12:17:56.855
0021600357_89_1626179,"Shot Chart Detail",0021600357,89,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,0,39,"Made Shot","Step Back Jump shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"8-16 ft.",13,27,129,1,1,20161211,OKC,BOS,2016-17,2017-09-27T12:17:56.855
0021600383_122_1626179,"Shot Chart Detail",0021600383,122,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,10,54,"Missed Shot","Pullup Jump shot","2PT Field Goal",Mid-Range,Center(C),"8-16 ft.",15,32,154,1,0,20161214,SAS,BOS,2016-17,2017-09-27T12:17:56.855
0021600383_127_1626179,"Shot Chart Detail",0021600383,127,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,10,12,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",24,184,164,1,1,20161214,SAS,BOS,2016-17,2017-09-27T12:17:56.855
0021600383_138_1626179,"Shot Chart Detail",0021600383,138,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,9,10,"Missed Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,-9,7,1,0,20161214,SAS,BOS,2016-17,2017-09-27T12:17:56.855
0021600383_168_1626179,"Shot Chart Detail",0021600383,168,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,6,6,"Made Shot","Pullup Jump shot","2PT Field Goal",Mid-Range,"Right Side(R)","8-16 ft.",15,138,70,1,1,20161214,SAS,BOS,2016-17,2017-09-27T12:17:56.855
0021600383_236_1626179,"Shot Chart Detail",0021600383,236,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,0,0,"Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",2,28,7,1,1,20161214,SAS,BOS,2016-17,2017-09-27T12:17:56.855
0021600383_309_1626179,"Shot Chart Detail",0021600383,309,1626179,"Terry Rozier",1610612738,"Boston Celtics",3,4,35,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-133,218,1,0,20161214,SAS,BOS,2016-17,2017-09-27T12:17:56.855
0021600383_354_1626179,"Shot Chart Detail",0021600383,354,1626179,"Terry Rozier",1610612738,"Boston Celtics",3,0,29,"Missed Shot","Pullup Jump shot","2PT Field Goal",Mid-Range,"Right Side(R)","16-24 ft.",17,177,-1,1,0,20161214,SAS,BOS,2016-17,2017-09-27T12:17:56.855
0021600383_378_1626179,"Shot Chart Detail",0021600383,378,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,10,20,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,199,165,1,0,20161214,SAS,BOS,2016-17,2017-09-27T12:17:56.855
0021600383_394_1626179,"Shot Chart Detail",0021600383,394,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,8,34,"Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,10,2,1,0,20161214,SAS,BOS,2016-17,2017-09-27T12:17:56.855
0021600383_419_1626179,"Shot Chart Detail",0021600383,419,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,6,55,"Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",2,22,-6,1,1,20161214,SAS,BOS,2016-17,2017-09-27T12:17:56.855
0021600383_421_1626179,"Shot Chart Detail",0021600383,421,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,6,11,"Missed Shot","Step Back Jump shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.",22,-228,-1,1,0,20161214,SAS,BOS,2016-17,2017-09-27T12:17:56.855
0021600383_78_1626179,"Shot Chart Detail",0021600383,78,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,3,34,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,199,156,1,1,20161214,SAS,BOS,2016-17,2017-09-27T12:17:56.855
0021600383_89_1626179,"Shot Chart Detail",0021600383,89,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,1,58,"Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,-4,-1,1,0,20161214,SAS,BOS,2016-17,2017-09-27T12:17:56.855
0021600391_138_1626179,"Shot Chart Detail",0021600391,138,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,1,6,"Missed Shot","Pullup Jump shot","2PT Field Goal",Mid-Range,"Left Side Center(LC)","16-24 ft.",19,-137,134,1,0,20161216,BOS,CHA,2016-17,2017-09-27T12:17:56.855
0021600391_197_1626179,"Shot Chart Detail",0021600391,197,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,8,5,"Made Shot","Step Back Jump shot","2PT Field Goal",Mid-Range,"Left Side(L)","16-24 ft.",19,-187,61,1,1,20161216,BOS,CHA,2016-17,2017-09-27T12:17:56.855
0021600391_440_1626179,"Shot Chart Detail",0021600391,440,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,11,12,"Missed Shot","Jump Shot","2PT Field Goal",Mid-Range,"Right Side(R)","8-16 ft.",15,97,115,1,0,20161216,BOS,CHA,2016-17,2017-09-27T12:17:56.855
0021600410_115_1626179,"Shot Chart Detail",0021600410,115,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,9,31,"Made Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"8-16 ft.",14,68,129,1,1,20161218,MIA,BOS,2016-17,2017-09-27T12:17:56.855
0021600410_134_1626179,"Shot Chart Detail",0021600410,134,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,7,54,"Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",2,-19,8,1,0,20161218,MIA,BOS,2016-17,2017-09-27T12:17:56.855
0021600410_411_1626179,"Shot Chart Detail",0021600410,411,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,9,48,"Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,-9,7,1,1,20161218,MIA,BOS,2016-17,2017-09-27T12:17:56.855
0021600424_165_1626179,"Shot Chart Detail",0021600424,165,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,7,14,"Missed Shot","Pullup Jump shot","2PT Field Goal",Mid-Range,"Right Side Center(RC)","16-24 ft.",21,92,193,1,0,20161220,MEM,BOS,2016-17,2017-09-27T12:17:56.855
0021600424_264_1626179,"Shot Chart Detail",0021600424,264,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,0,0,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",27,191,195,1,0,20161220,MEM,BOS,2016-17,2017-09-27T12:17:56.855
0021600424_394_1626179,"Shot Chart Detail",0021600424,394,1626179,"Terry Rozier",1610612738,"Boston Celtics",3,0,48,"Missed Shot","Running Pull-Up Jump Shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"8-16 ft.",13,-50,121,1,0,20161220,MEM,BOS,2016-17,2017-09-27T12:17:56.855
0021600424_398_1626179,"Shot Chart Detail",0021600424,398,1626179,"Terry Rozier",1610612738,"Boston Celtics",3,0,26,"Missed Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"Less Than 8 ft.",4,35,31,1,0,20161220,MEM,BOS,2016-17,2017-09-27T12:17:56.855
0021600440_424_1626179,"Shot Chart Detail",0021600440,424,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,8,56,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",26,228,134,1,0,20161222,IND,BOS,2016-17,2017-09-27T12:17:56.855
0021600440_82_1626179,"Shot Chart Detail",0021600440,82,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,3,7,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-165,205,1,0,20161222,IND,BOS,2016-17,2017-09-27T12:17:56.855
0021600440_96_1626179,"Shot Chart Detail",0021600440,96,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,2,18,"Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.",24,-240,-6,1,0,20161222,IND,BOS,2016-17,2017-09-27T12:17:56.855
0021600445_204_1626179,"Shot Chart Detail",0021600445,204,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,7,55,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-99,232,1,1,20161223,BOS,OKC,2016-17,2017-09-27T12:17:56.855
0021600445_220_1626179,"Shot Chart Detail",0021600445,220,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,5,51,"Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"Less Than 8 ft.",6,9,62,1,0,20161223,BOS,OKC,2016-17,2017-09-27T12:17:56.855
0021600494_93_1626179,"Shot Chart Detail",0021600494,93,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,1,12,"Made Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,-16,2,1,1,20161230,BOS,MIA,2016-17,2017-09-27T12:17:56.855
0021600546_480_1626179,"Shot Chart Detail",0021600546,480,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,6,31,"Missed Shot","Putback Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,-8,9,1,0,20170106,BOS,PHI,2016-17,2017-09-27T12:17:56.855
0021600553_396_1626179,"Shot Chart Detail",0021600553,396,1626179,"Terry Rozier",1610612738,"Boston Celtics",3,1,9,"Missed Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",8,45,77,1,0,20170107,BOS,NOP,2016-17,2017-09-27T12:17:56.855
0021600553_474_1626179,"Shot Chart Detail",0021600553,474,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,6,13,"Made Shot","Tip Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,-2,7,1,1,20170107,BOS,NOP,2016-17,2017-09-27T12:17:56.855
0021600553_89_1626179,"Shot Chart Detail",0021600553,89,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,2,23,"Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,2,3,1,1,20170107,BOS,NOP,2016-17,2017-09-27T12:17:56.855
0021600572_117_1626179,"Shot Chart Detail",0021600572,117,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,0,54,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-191,178,1,0,20170110,TOR,BOS,2016-17,2017-09-27T12:17:56.855
0021600583_139_1626179,"Shot Chart Detail",0021600583,139,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,9,19,"Made Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,-7,-10,1,1,20170111,BOS,WAS,2016-17,2017-09-27T12:17:56.855
0021600583_369_1626179,"Shot Chart Detail",0021600583,369,1626179,"Terry Rozier",1610612738,"Boston Celtics",3,1,7,"Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",2,-25,-6,1,0,20170111,BOS,WAS,2016-17,2017-09-27T12:17:56.855
0021600583_390_1626179,"Shot Chart Detail",0021600583,390,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,11,44,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3",Center(C),"24+ ft.",25,-30,249,1,0,20170111,BOS,WAS,2016-17,2017-09-27T12:17:56.855
0021600583_405_1626179,"Shot Chart Detail",0021600583,405,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,10,5,"Made Shot","Step Back Jump shot","2PT Field Goal",Mid-Range,"Right Side(R)","8-16 ft.",15,94,124,1,1,20170111,BOS,WAS,2016-17,2017-09-27T12:17:56.855
0021600583_463_1626179,"Shot Chart Detail",0021600583,463,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,4,0,"Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",23,236,8,1,1,20170111,BOS,WAS,2016-17,2017-09-27T12:17:56.855
0021600583_95_1626179,"Shot Chart Detail",0021600583,95,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,1,4,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-173,190,1,1,20170111,BOS,WAS,2016-17,2017-09-27T12:17:56.855
0021600597_130_1626179,"Shot Chart Detail",0021600597,130,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,10,55,"Made Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"Less Than 8 ft.",4,45,21,1,1,20170113,ATL,BOS,2016-17,2017-09-27T12:17:56.855
0021600597_199_1626179,"Shot Chart Detail",0021600597,199,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,4,45,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3",Center(C),"24+ ft.",24,-53,242,1,0,20170113,ATL,BOS,2016-17,2017-09-27T12:17:56.855
0021600597_357_1626179,"Shot Chart Detail",0021600597,357,1626179,"Terry Rozier",1610612738,"Boston Celtics",3,3,23,"Made Shot","Step Back Jump shot","2PT Field Goal",Mid-Range,"Right Side(R)","16-24 ft.",20,204,38,1,1,20170113,ATL,BOS,2016-17,2017-09-27T12:17:56.855
0021600597_406_1626179,"Shot Chart Detail",0021600597,406,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,10,16,"Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,2,3,1,1,20170113,ATL,BOS,2016-17,2017-09-27T12:17:56.855
0021600597_431_1626179,"Shot Chart Detail",0021600597,431,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,8,3,"Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,19,-1,1,0,20170113,ATL,BOS,2016-17,2017-09-27T12:17:56.855
0021600630_124_1626179,"Shot Chart Detail",0021600630,124,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,11,9,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-133,219,1,0,20170118,BOS,NYK,2016-17,2017-09-27T12:17:56.855
0021600630_138_1626179,"Shot Chart Detail",0021600630,138,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,9,50,"Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"Less Than 8 ft.",5,14,56,1,0,20170118,BOS,NYK,2016-17,2017-09-27T12:17:56.855
0021600630_181_1626179,"Shot Chart Detail",0021600630,181,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,6,27,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-179,175,1,0,20170118,BOS,NYK,2016-17,2017-09-27T12:17:56.855
0021600630_187_1626179,"Shot Chart Detail",0021600630,187,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,6,3,"Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",2,27,8,1,0,20170118,BOS,NYK,2016-17,2017-09-27T12:17:56.855
0021600630_391_1626179,"Shot Chart Detail",0021600630,391,1626179,"Terry Rozier",1610612738,"Boston Celtics",3,0,33,"Missed Shot","Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,0,-15,1,0,20170118,BOS,NYK,2016-17,2017-09-27T12:17:56.855
0021600630_402_1626179,"Shot Chart Detail",0021600630,402,1626179,"Terry Rozier",1610612738,"Boston Celtics",3,0,3,"Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,-18,5,1,0,20170118,BOS,NYK,2016-17,2017-09-27T12:17:56.855
0021600630_434_1626179,"Shot Chart Detail",0021600630,434,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,9,16,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3",Center(C),"24+ ft.",25,20,254,1,1,20170118,BOS,NYK,2016-17,2017-09-27T12:17:56.855
0021600630_494_1626179,"Shot Chart Detail",0021600630,494,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,4,59,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-168,200,1,0,20170118,BOS,NYK,2016-17,2017-09-27T12:17:56.855
0021600650_116_1626179,"Shot Chart Detail",0021600650,116,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,0,53,"Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,2,7,1,0,20170121,BOS,POR,2016-17,2017-09-27T12:17:56.855
0021600650_202_1626179,"Shot Chart Detail",0021600650,202,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,6,32,"Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,-4,11,1,1,20170121,BOS,POR,2016-17,2017-09-27T12:17:56.855
0021600650_221_1626179,"Shot Chart Detail",0021600650,221,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,5,36,"Made Shot","Fadeaway Bank shot","2PT Field Goal",Mid-Range,"Left Side(L)","8-16 ft.",12,-125,28,1,1,20170121,BOS,POR,2016-17,2017-09-27T12:17:56.855
0021600650_389_1626179,"Shot Chart Detail",0021600650,389,1626179,"Terry Rozier",1610612738,"Boston Celtics",3,2,47,"Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,0,7,1,1,20170121,BOS,POR,2016-17,2017-09-27T12:17:56.855
0021600650_404_1626179,"Shot Chart Detail",0021600650,404,1626179,"Terry Rozier",1610612738,"Boston Celtics",3,1,52,"Made Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-148,208,1,1,20170121,BOS,POR,2016-17,2017-09-27T12:17:56.855
0021600650_412_1626179,"Shot Chart Detail",0021600650,412,1626179,"Terry Rozier",1610612738,"Boston Celtics",3,0,28,"Missed Shot","Pullup Jump shot","2PT Field Goal",Mid-Range,Center(C),"8-16 ft.",14,9,141,1,0,20170121,BOS,POR,2016-17,2017-09-27T12:17:56.855
0021600650_426_1626179,"Shot Chart Detail",0021600650,426,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,11,10,"Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",10,69,75,1,0,20170121,BOS,POR,2016-17,2017-09-27T12:17:56.855
0021600650_463_1626179,"Shot Chart Detail",0021600650,463,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,8,15,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,146,208,1,1,20170121,BOS,POR,2016-17,2017-09-27T12:17:56.855
0021600650_465_1626179,"Shot Chart Detail",0021600650,465,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,7,44,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3",Center(C),"24+ ft.",26,-43,257,1,0,20170121,BOS,POR,2016-17,2017-09-27T12:17:56.855
0021600650_474_1626179,"Shot Chart Detail",0021600650,474,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,7,18,"Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,-4,-5,1,0,20170121,BOS,POR,2016-17,2017-09-27T12:17:56.855
0021600650_51_1626179,"Shot Chart Detail",0021600650,51,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,6,33,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",24,132,210,1,0,20170121,BOS,POR,2016-17,2017-09-27T12:17:56.855
0021600650_584_1626179,"Shot Chart Detail",0021600650,584,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,0,8,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",26,125,234,1,1,20170121,BOS,POR,2016-17,2017-09-27T12:17:56.855
0021600650_76_1626179,"Shot Chart Detail",0021600650,76,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,3,43,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-174,205,1,0,20170121,BOS,POR,2016-17,2017-09-27T12:17:56.855
0021600676_101_1626179,"Shot Chart Detail",0021600676,101,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,1,11,"Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.",24,-237,46,1,0,20170124,WAS,BOS,2016-17,2017-09-27T12:17:56.855
0021600676_104_1626179,"Shot Chart Detail",0021600676,104,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,0,53,"Missed Shot","Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,4,-1,1,0,20170124,WAS,BOS,2016-17,2017-09-27T12:17:56.855
0021600676_387_1626179,"Shot Chart Detail",0021600676,387,1626179,"Terry Rozier",1610612738,"Boston Celtics",3,1,59,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-125,228,1,0,20170124,WAS,BOS,2016-17,2017-09-27T12:17:56.855
0021600676_412_1626179,"Shot Chart Detail",0021600676,412,1626179,"Terry Rozier",1610612738,"Boston Celtics",3,0,25,"Made Shot","Running Finger Roll Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,4,7,1,1,20170124,WAS,BOS,2016-17,2017-09-27T12:17:56.855
0021600676_566_1626179,"Shot Chart Detail",0021600676,566,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,0,19,"Missed Shot","Jump Shot","2PT Field Goal",Mid-Range,"Left Side Center(LC)","16-24 ft.",21,-160,144,1,0,20170124,WAS,BOS,2016-17,2017-09-27T12:17:56.855
0021600676_82_1626179,"Shot Chart Detail",0021600676,82,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,2,54,"Missed Shot","Jump Shot","2PT Field Goal",Mid-Range,"Right Side Center(RC)","16-24 ft.",16,87,144,1,0,20170124,WAS,BOS,2016-17,2017-09-27T12:17:56.855
0021600681_130_1626179,"Shot Chart Detail",0021600681,130,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,0,40,"Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.",23,-238,0,1,0,20170125,BOS,HOU,2016-17,2017-09-27T12:17:56.855
