,playerName,diff,PPS,expectedPPS
95,Markelle Fultz,0.15185001763233874,0.7826086956521741,0.9344587132845128
159,Ramon Sessions,0.11795475711118508,0.9047619047619048,1.0227166618730898
341,Johnny OBryant III,0.11380233174183485,0.765,0.8788023317418349
316,Joffrey Lauvergne,0.11289600789649568,0.8861788617886179,0.9990748696851136
333,Sean Kilpatrick,0.11171558495203548,0.8888888888888888,1.0006044738409243
299,Mike Muscala,0.08636259105829691,0.8912466843501327,0.9776092754084296
298,Michael Carter-Williams,0.0855049683750001,0.8538283062645011,0.9393332746395012
154,Jason Smith,0.08329995514758659,0.8775510204081632,0.9608509755557498
83,Isaiah Whitehead,0.08240368432597778,0.9135135135135136,0.9959171978394914
321,Josh Magette,0.08191056634263638,0.8828828828828829,0.9647934492255192
222,Quincy Pondexter,0.08171751789716408,0.8271186440677966,0.9088361619649606
305,Shane Larkin,0.0735824827817313,0.8719512195121951,0.9455337022939264
15,Justin Anderson,0.07280961280546239,0.9,0.9728096128054624
322,C.J. Williams,0.07253258563945686,0.945,1.0175325856394568
284,Nerlens Noel,0.06633817657955521,0.946236559139785,1.0125747357193402
19,Sam Dekker,0.05976448558304981,0.955922865013774,1.0156873505968238
113,Terrance Ferguson,0.05964615817720076,0.8624338624338624,0.9220800206110632
177,Nicolas Batum,0.05514792832376314,0.9637795275590552,1.0189274558828183
165,Danilo Gallinari,0.05373054541304245,0.998397435897436,1.0521279813104785
318,Troy Daniels,0.05188484055054754,0.943970767356882,0.9958556079074296
202,Patrick Beverley,0.05063923262130854,1.0307692307692309,1.0814084633905394
110,Jarrett Allen,0.04841963590501064,0.9612244897959183,1.009644125700929
118,Caleb Swanigan,0.0470906824356615,0.8954545454545455,0.942545227890207
223,Hassan Whiteside,0.046204216642545926,0.98989898989899,1.0361032065415359
76,Cheick Diallo,0.04599115242683316,0.9950980392156864,1.0410891916425196
39,Jarell Martin,0.045842344769737586,0.939882697947214,0.9857250427169516
289,Brandon Paul,0.042261264169147994,0.9711711711711712,1.0134324353403192
175,Kosta Koufos,0.039582776240239204,0.9254587155963304,0.9650414918365696
285,Alex Len,0.038476098841628725,0.9352678571428572,0.9737439559844859
88,Dorian Finney-Smith,0.03539126292052319,0.9353233830845772,0.9707146460051004
208,Evan Turner,0.034908998135644076,0.9471403812824956,0.9820493794181396
123,Sindarius Thornwell,0.03253732329233372,0.9717261904761904,1.004263513768524
287,Andre Roberson,0.0317559623645256,0.9629324546952224,0.994688417059748
280,Willie Reed,0.030620054789129103,0.9896907216494846,1.0203107764386137
362,Joe Johnson,0.030084821346105906,0.9780701754385964,1.0081549967847023
41,Willy Hernangomez,0.029556340500299205,0.9566787003610108,0.98623504086131
53,Dragan Bender,0.028974110436733258,0.9391824526420738,0.968156563078807
312,James Ennis III,0.02869821758232316,0.966369930761622,0.9950681483439452
303,Rudy Gobert,0.027329545251347787,0.9763033175355451,1.003632862786893
