loc,xCoordinate,yCoordinate
"Mid-Range_Right Side(R)",180,97
"Mid-Range_Left Side(L)",-185,4
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",188,47
"Mid-Range_Right Side(R)",188,0
"Mid-Range_Left Side(L)",-141,0
"Restricted Area_Center(C)",0,0
"Above the Break 3_Left Side Center(LC)",-206,141
"Mid-Range_Right Side(R)",174,15
"Mid-Range_Left Side(L)",-162,87
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Above the Break 3_Left Side Center(LC)",-229,108
"Above the Break 3_Right Side Center(RC)",216,129
"Mid-Range_Right Side(R)",144,19
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",153,70
"Mid-Range_Right Side(R)",153,-17
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-155,4
"Mid-Range_Left Side(L)",-185,70
"Above the Break 3_Center(C)",16,245
"Mid-Range_Left Side(L)",-155,36
"Mid-Range_Right Side(R)",167,9
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",94,15
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",195,19
"Mid-Range_Right Side(R)",188,4
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side Center(LC)",-128,163
"Mid-Range_Left Side(L)",-185,57
"Mid-Range_Left Side(L)",-149,19
"Mid-Range_Left Side(L)",-176,42
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-42,53
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side Center(RC)",129,106
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-151,19
"Mid-Range_Right Side(R)",104,7
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-52,55
"Mid-Range_Right Side Center(RC)",79,205
"Mid-Range_Left Side(L)",-94,28
"Mid-Range_Right Side(R)",144,70
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",129,49
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",54,112
"Mid-Range_Left Side Center(LC)",-77,198
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-126,13
"Right Corner 3_Right Side(R)",228,7
"In The Paint (Non-RA)_Center(C)",-4,55
"In The Paint (Non-RA)_Center(C)",11,76
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Above the Break 3_Left Side Center(LC)",-185,184
"Mid-Range_Left Side(L)",-151,19
Mid-Range_Center(C),37,169
"In The Paint (Non-RA)_Center(C)",-27,76
"Above the Break 3_Center(C)",-69,259
"In The Paint (Non-RA)_Center(C)",45,49
"Mid-Range_Right Side(R)",113,49
"Above the Break 3_Left Side Center(LC)",-86,232
"In The Paint (Non-RA)_Right Side(R)",62,85
"In The Paint (Non-RA)_Center(C)",-12,55
"Mid-Range_Left Side(L)",-101,42
"Mid-Range_Left Side(L)",-134,85
"Mid-Range_Right Side(R)",138,70
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",102,13
"In The Paint (Non-RA)_Center(C)",-39,23
"Mid-Range_Right Side(R)",138,2
"Mid-Range_Left Side(L)",-103,7
"Left Corner 3_Left Side(L)",-231,2
"Above the Break 3_Right Side Center(RC)",159,186
"Mid-Range_Right Side(R)",159,104
"Restricted Area_Center(C)",0,0
"Left Corner 3_Left Side(L)",-240,2
"Mid-Range_Right Side(R)",123,28
"Above the Break 3_Left Side Center(LC)",-216,118
"In The Paint (Non-RA)_Center(C)",-4,53
"Left Corner 3_Left Side(L)",-231,-2
"Mid-Range_Left Side(L)",-138,97
Mid-Range_Center(C),-31,158
"Restricted Area_Center(C)",0,0
"Above the Break 3_Left Side Center(LC)",-103,219
"Above the Break 3_Center(C)",-4,243
"Above the Break 3_Left Side Center(LC)",-126,219
"Right Corner 3_Right Side(R)",231,28
"Left Corner 3_Left Side(L)",-231,2
"Mid-Range_Left Side Center(LC)",-88,158
"Left Corner 3_Left Side(L)",-231,7
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side Center(LC)",-103,135
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Above the Break 3_Center(C)",-39,238
"Above the Break 3_Left Side Center(LC)",-181,165
"Mid-Range_Left Side(L)",-138,7
"In The Paint (Non-RA)_Left Side(L)",-73,40
"Mid-Range_Right Side(R)",108,97
"Mid-Range_Right Side Center(RC)",75,158
"Restricted Area_Center(C)",0,0
"Above the Break 3_Left Side Center(LC)",-161,191
"Above the Break 3_Right Side Center(RC)",138,198
"Above the Break 3_Right Side Center(RC)",96,226
"Mid-Range_Left Side(L)",-126,13
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Above the Break 3_Left Side Center(LC)",-103,226
"Mid-Range_Left Side(L)",-147,7
"Right Corner 3_Right Side(R)",231,13
"Above the Break 3_Left Side Center(LC)",-225,104
"Mid-Range_Right Side Center(RC)",150,158
"In The Paint (Non-RA)_Center(C)",9,47
"Above the Break 3_Left Side Center(LC)",-153,192
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",22,7
"Mid-Range_Right Side Center(RC)",115,144
"Above the Break 3_Center(C)",7,257
"Mid-Range_Right Side Center(RC)",153,127
"Above the Break 3_Right Side Center(RC)",100,224
"Restricted Area_Center(C)",0,0
"Above the Break 3_Right Side Center(RC)",201,150
"In The Paint (Non-RA)_Center(C)",1,137
"Mid-Range_Left Side(L)",-119,30
"Restricted Area_Center(C)",0,0
"Right Corner 3_Right Side(R)",237,13
"Mid-Range_Left Side Center(LC)",-92,167
"In The Paint (Non-RA)_Center(C)",64,42
"In The Paint (Non-RA)_Center(C)",1,57
"Above the Break 3_Left Side Center(LC)",-206,156
"Mid-Range_Right Side Center(RC)",85,144
"In The Paint (Non-RA)_Right Side(R)",79,42
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-92,82
"Mid-Range_Right Side(R)",108,104
Mid-Range_Center(C),16,207
"Restricted Area_Center(C)",0,0
"Left Corner 3_Left Side(L)",-235,7
"Mid-Range_Right Side Center(RC)",115,116
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side Center(LC)",-71,179
Mid-Range_Center(C),51,207
"Mid-Range_Left Side(L)",-128,7
"Above the Break 3_Left Side Center(LC)",-141,207
"Mid-Range_Right Side(R)",188,-19
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side Center(LC)",-98,137
"Mid-Range_Left Side(L)",-98,0
"In The Paint (Non-RA)_Center(C)",16,99
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Left Side(L)",-71,110
"Mid-Range_Left Side(L)",-119,19
"In The Paint (Non-RA)_Left Side(L)",-56,87
"Mid-Range_Left Side(L)",-105,7
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-46,13
"Mid-Range_Left Side(L)",-147,85
"In The Paint (Non-RA)_Center(C)",66,2
"Mid-Range_Left Side(L)",-96,118
"Restricted Area_Center(C)",-10,2
"In The Paint (Non-RA)_Center(C)",-31,40
"Restricted Area_Center(C)",1,-2
"Mid-Range_Right Side(R)",87,-2
"In The Paint (Non-RA)_Center(C)",-31,85
"Mid-Range_Right Side(R)",87,-2
"Mid-Range_Right Side(R)",108,2
"Mid-Range_Right Side(R)",144,28
"Restricted Area_Center(C)",-4,-8
"Mid-Range_Left Side(L)",-210,-25
"Restricted Area_Center(C)",1,-2
"Mid-Range_Right Side(R)",87,2
"Mid-Range_Left Side(L)",-147,23
"Mid-Range_Right Side(R)",150,2
"Mid-Range_Right Side Center(RC)",75,186
"Mid-Range_Right Side(R)",102,118
"Mid-Range_Right Side(R)",129,80
"In The Paint (Non-RA)_Center(C)",60,17
"In The Paint (Non-RA)_Center(C)",-25,118
"Mid-Range_Right Side(R)",150,-2
"Restricted Area_Center(C)",-4,2
"Above the Break 3_Right Side Center(RC)",216,108
"Restricted Area_Center(C)",9,7
"Restricted Area_Center(C)",1,2
"Restricted Area_Center(C)",1,2
"In The Paint (Non-RA)_Center(C)",75,2
Mid-Range_Center(C),-10,198
"Restricted Area_Center(C)",9,2
"Mid-Range_Right Side(R)",87,13
"In The Paint (Non-RA)_Center(C)",-67,13
"Above the Break 3_Center(C)",30,243
"Mid-Range_Right Side(R)",87,-2
"Mid-Range_Left Side(L)",-153,47
"Mid-Range_Right Side(R)",159,40
"Restricted Area_Center(C)",-10,-8
"In The Paint (Non-RA)_Center(C)",47,83
"In The Paint (Non-RA)_Center(C)",-52,28
"In The Paint (Non-RA)_Center(C)",-12,55
"Above the Break 3_Right Side Center(RC)",212,141
"Mid-Range_Right Side(R)",159,-8
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-65,26
"Mid-Range_Left Side(L)",-170,89
"Mid-Range_Left Side(L)",-147,106
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Above the Break 3_Left Side Center(LC)",-94,224
"Above the Break 3_Right Side Center(RC)",150,194
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",-6,36
"Mid-Range_Left Side Center(LC)",-117,129
"Above the Break 3_Right Side Center(RC)",226,106
"Mid-Range_Left Side(L)",-170,78
"In The Paint (Non-RA)_Center(C)",9,135
"Mid-Range_Right Side(R)",212,59
"Mid-Range_Right Side(R)",195,101
"In The Paint (Non-RA)_Right Side(R)",77,30
"Mid-Range_Right Side(R)",174,-8
"Mid-Range_Left Side(L)",-208,7
"Mid-Range_Left Side Center(LC)",-73,194
"Above the Break 3_Right Side Center(RC)",91,230
"Above the Break 3_Right Side Center(RC)",203,152
"Above the Break 3_Left Side Center(LC)",-126,224
"Mid-Range_Left Side(L)",-193,101
"Mid-Range_Left Side Center(LC)",-117,177
"Restricted Area_Center(C)",0,0
"Above the Break 3_Center(C)",-25,241
"Above the Break 3_Left Side Center(LC)",-138,207
"Mid-Range_Left Side(L)",-117,28
"Right Corner 3_Right Side(R)",237,49
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side Center(RC)",129,150
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-204,-15
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",129,4
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-39,21
"Mid-Range_Right Side(R)",144,-15
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-174,-4
"Restricted Area_Center(C)",9,38
"Mid-Range_Right Side Center(RC)",96,139
"Mid-Range_Left Side(L)",-86,0
"Restricted Area_Center(C)",0,0
"Left Corner 3_Left Side(L)",-231,-21
"Mid-Range_Right Side(R)",144,-21
Mid-Range_Center(C),16,171
"Above the Break 3_Center(C)",-31,241
"Above the Break 3_Center(C)",-39,241
"In The Paint (Non-RA)_Center(C)",45,32
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side Center(LC)",-153,150
"In The Paint (Non-RA)_Right Side(R)",75,116
"Above the Break 3_Left Side Center(LC)",-147,200
"Right Corner 3_Right Side(R)",224,72
"Restricted Area_Center(C)",22,21
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side Center(LC)",-147,150
"Restricted Area_Center(C)",1,28
Mid-Range_Center(C),54,146
"Restricted Area_Center(C)",-25,17
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Left Corner 3_Left Side(L)",-231,72
"Right Corner 3_Right Side(R)",231,45
"In The Paint (Non-RA)_Center(C)",45,21
"Mid-Range_Right Side(R)",117,99
"Mid-Range_Right Side(R)",167,72
"Mid-Range_Left Side(L)",-157,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",16,34
"In The Paint (Non-RA)_Center(C)",1,51
"In The Paint (Non-RA)_Center(C)",73,15
"Mid-Range_Left Side(L)",-94,-4
"In The Paint (Non-RA)_Center(C)",30,68
"In The Paint (Non-RA)_Center(C)",7,135
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-145,-11
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",66,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",1,28
"In The Paint (Non-RA)_Center(C)",1,68
"In The Paint (Non-RA)_Left Side(L)",-65,108
"In The Paint (Non-RA)_Center(C)",-33,125
"Mid-Range_Left Side(L)",-86,-11
"Restricted Area_Center(C)",-27,28
"Above the Break 3_Left Side Center(LC)",-94,238
"Mid-Range_Left Side(L)",-107,0
"Mid-Range_Left Side Center(LC)",-101,135
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",58,0
"In The Paint (Non-RA)_Center(C)",1,63
"In The Paint (Non-RA)_Left Side(L)",-79,-15
"Mid-Range_Right Side Center(RC)",138,175
"Restricted Area_Center(C)",7,28
"Restricted Area_Center(C)",22,15
"Mid-Range_Right Side(R)",91,4
"Mid-Range_Left Side Center(LC)",-138,106
"Above the Break 3_Left Side Center(LC)",-162,200
"Right Corner 3_Right Side(R)",228,26
"In The Paint (Non-RA)_Center(C)",-42,15
"In The Paint (Non-RA)_Center(C)",-4,55
Mid-Range_Center(C),16,222
"Mid-Range_Right Side(R)",142,99
"Above the Break 3_Left Side Center(LC)",-105,245
"Mid-Range_Left Side Center(LC)",-111,120
"Mid-Range_Right Side(R)",157,99
"Above the Break 3_Left Side Center(LC)",-176,200
"Mid-Range_Left Side(L)",-189,30
"Mid-Range_Left Side(L)",-124,30
"Mid-Range_Left Side Center(LC)",-111,133
"Mid-Range_Left Side Center(LC)",-138,116
"Restricted Area_Center(C)",-4,30
"Above the Break 3_Left Side Center(LC)",-195,177
Mid-Range_Center(C),-18,228
"Restricted Area_Center(C)",16,4
"Above the Break 3_Right Side Center(RC)",214,127
"Above the Break 3_Center(C)",-48,268
"Restricted Area_Center(C)",-4,19
"Mid-Range_Right Side Center(RC)",142,127
"Mid-Range_Right Side Center(RC)",115,184
"Mid-Range_Right Side Center(RC)",129,160
"Mid-Range_Left Side Center(LC)",-84,156
"Restricted Area_Center(C)",-16,30
"Mid-Range_Left Side(L)",-153,13
"Above the Break 3_Right Side Center(RC)",178,190
"Mid-Range_Left Side(L)",-88,120
"Mid-Range_Left Side(L)",-168,13
"Restricted Area_Center(C)",11,13
"Mid-Range_Left Side(L)",-168,93
"Mid-Range_Right Side(R)",148,99
"Left Corner 3_Left Side(L)",-233,7
"Mid-Range_Left Side(L)",-153,63
"Restricted Area_Center(C)",-23,26
"Mid-Range_Right Side Center(RC)",106,137
"Mid-Range_Left Side(L)",-176,-2
"Restricted Area_Center(C)",32,7
"Mid-Range_Right Side(R)",148,0
"Restricted Area_Center(C)",18,13
"Mid-Range_Left Side(L)",-138,87
"Above the Break 3_Right Side Center(RC)",148,207
"Mid-Range_Left Side(L)",-153,19
"Mid-Range_Left Side(L)",-103,93
"Restricted Area_Center(C)",-10,19
"Mid-Range_Right Side(R)",127,13
"Mid-Range_Left Side(L)",-189,-2
"In The Paint (Non-RA)_Center(C)",-31,26
"In The Paint (Non-RA)_Center(C)",32,36
"Mid-Range_Left Side(L)",-162,110
"Restricted Area_Center(C)",-1,30
Mid-Range_Center(C),-1,179
