loc,xCoordinate,yCoordinate
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side Center(RC)",117,139
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",22,11
"Restricted Area_Center(C)",-25,21
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",-31,21
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",102,11
"Mid-Range_Left Side(L)",-96,78
"Mid-Range_Right Side(R)",81,28
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-52,28
"In The Paint (Non-RA)_Center(C)",1,45
"Mid-Range_Right Side(R)",138,17
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",-31,21
"Restricted Area_Center(C)",30,17
"Restricted Area_Center(C)",22,4
"Restricted Area_Center(C)",-31,21
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",1,49
"Mid-Range_Right Side(R)",150,45
"Mid-Range_Right Side(R)",174,0
"Above the Break 3_Right Side Center(RC)",144,207
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",1,45
Mid-Range_Center(C),54,167
"Above the Break 3_Center(C)",-46,241
Mid-Range_Center(C),-1,160
"In The Paint (Non-RA)_Center(C)",41,9
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side Center(LC)",-82,188
"Above the Break 3_Left Side Center(LC)",-214,127
Mid-Range_Center(C),-39,144
"In The Paint (Non-RA)_Center(C)",77,0
"Above the Break 3_Right Side Center(RC)",89,224
"Above the Break 3_Center(C)",56,241
"In The Paint (Non-RA)_Center(C)",-67,42
Mid-Range_Center(C),-1,156
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-31,26
"In The Paint (Non-RA)_Center(C)",32,106
"Above the Break 3_Center(C)",32,245
"Restricted Area_Center(C)",0,0
Mid-Range_Center(C),11,194
"Above the Break 3_Center(C)",11,251
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",144,0
"In The Paint (Non-RA)_Center(C)",41,36
"In The Paint (Non-RA)_Center(C)",-29,36
"Restricted Area_Center(C)",-23,9
"Restricted Area_Center(C)",-29,19
"Above the Break 3_Right Side Center(RC)",191,173
"Above the Break 3_Center(C)",-50,245
"Mid-Range_Left Side(L)",-134,9
"Restricted Area_Center(C)",-29,13
"Restricted Area_Center(C)",-35,19
"Restricted Area_Center(C)",3,0
"In The Paint (Non-RA)_Center(C)",54,15
"Restricted Area_Center(C)",24,4
"Mid-Range_Left Side(L)",-86,4
"In The Paint (Non-RA)_Center(C)",-8,66
"Restricted Area_Center(C)",11,36
"Restricted Area_Center(C)",-35,19
"Restricted Area_Center(C)",11,36
"Above the Break 3_Right Side Center(RC)",167,184
"Above the Break 3_Center(C)",54,251
"Restricted Area_Center(C)",-29,0
"Mid-Range_Right Side(R)",129,19
"Restricted Area_Center(C)",0,0
"Above the Break 3_Right Side Center(RC)",167,207
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",39,19
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",159,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-50,36
"Mid-Range_Right Side Center(RC)",60,177
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",18,42
"In The Paint (Non-RA)_Center(C)",-8,93
"Mid-Range_Left Side(L)",-122,15
"In The Paint (Non-RA)_Center(C)",-23,49
"Restricted Area_Center(C)",-35,15
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-101,116
"Restricted Area_Center(C)",18,15
"Mid-Range_Right Side(R)",195,15
"Restricted Area_Center(C)",18,34
"Restricted Area_Center(C)",18,4
Mid-Range_Center(C),-1,144
"Above the Break 3_Right Side Center(RC)",127,213
"Mid-Range_Left Side Center(LC)",-109,173
"Restricted Area_Center(C)",3,11
"Restricted Area_Center(C)",11,-4
"Mid-Range_Right Side(R)",178,4
"Mid-Range_Left Side(L)",-162,11
"Restricted Area_Center(C)",18,4
"Restricted Area_Center(C)",18,4
"Restricted Area_Center(C)",24,4
"Restricted Area_Center(C)",11,0
"Restricted Area_Center(C)",18,-4
Mid-Range_Center(C),62,209
"Left Corner 3_Left Side(L)",-240,47
"Mid-Range_Left Side Center(LC)",-124,169
"Mid-Range_Left Side Center(LC)",-109,163
"Restricted Area_Center(C)",18,4
"Mid-Range_Right Side Center(RC)",113,144
"Mid-Range_Left Side Center(LC)",-138,144
"Above the Break 3_Center(C)",-10,243
"In The Paint (Non-RA)_Center(C)",-67,4
"Right Corner 3_Right Side(R)",228,17
"Mid-Range_Left Side(L)",-176,63
"In The Paint (Non-RA)_Center(C)",-58,11
"Mid-Range_Left Side Center(LC)",-132,173
"Left Corner 3_Left Side(L)",-233,21
"Mid-Range_Left Side(L)",-147,80
"Mid-Range_Right Side(R)",157,4
"In The Paint (Non-RA)_Center(C)",-23,93
"Above the Break 3_Right Side Center(RC)",121,209
"Mid-Range_Left Side(L)",-168,47
"In The Paint (Non-RA)_Center(C)",56,110
"Restricted Area_Center(C)",-1,28
"Mid-Range_Right Side(R)",169,11
"Mid-Range_Left Side Center(LC)",-117,173
"Mid-Range_Right Side(R)",142,4
"Mid-Range_Right Side Center(RC)",85,156
"Restricted Area_Center(C)",18,4
"Above the Break 3_Left Side Center(LC)",-162,192
"Mid-Range_Left Side(L)",-138,93
"Restricted Area_Center(C)",18,4
"Restricted Area_Center(C)",18,4
"Mid-Range_Left Side Center(LC)",-124,173
"Left Corner 3_Left Side(L)",-240,4
"Mid-Range_Right Side(R)",148,51
"Above the Break 3_Right Side Center(RC)",148,186
"Above the Break 3_Left Side Center(LC)",-153,196
"Mid-Range_Left Side(L)",-189,11
"Mid-Range_Right Side(R)",85,9
"Restricted Area_Center(C)",-23,-4
"Mid-Range_Left Side(L)",-204,11
"Mid-Range_Left Side(L)",-197,28
"Right Corner 3_Right Side(R)",228,4
"Mid-Range_Left Side(L)",-117,21
"Restricted Area_Center(C)",24,4
"Mid-Range_Right Side Center(RC)",91,156
"Above the Break 3_Left Side Center(LC)",-183,179
"Above the Break 3_Right Side Center(RC)",142,203
"Restricted Area_Center(C)",11,11
"Restricted Area_Center(C)",11,11
"Mid-Range_Left Side(L)",-176,51
"Mid-Range_Right Side Center(RC)",106,179
"Restricted Area_Center(C)",24,11
"Mid-Range_Left Side Center(LC)",-117,163
"Restricted Area_Center(C)",-23,11
"Mid-Range_Right Side(R)",119,87
"Above the Break 3_Left Side Center(LC)",-124,241
"Restricted Area_Center(C)",0,0
Mid-Range_Center(C),18,144
"Mid-Range_Right Side(R)",104,70
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",24,49
"Above the Break 3_Right Side Center(RC)",191,268
"In The Paint (Non-RA)_Center(C)",68,30
Mid-Range_Center(C),47,144
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",3,4
"In The Paint (Non-RA)_Center(C)",11,76
"Restricted Area_Center(C)",11,19
"Restricted Area_Center(C)",-1,36
"Above the Break 3_Right Side Center(RC)",110,262
"In The Paint (Non-RA)_Center(C)",-16,49
"In The Paint (Non-RA)_Center(C)",47,30
"In The Paint (Non-RA)_Center(C)",32,76
"In The Paint (Non-RA)_Center(C)",-65,30
"In The Paint (Non-RA)_Center(C)",-8,66
"Above the Break 3_Center(C)",68,268
"Restricted Area_Center(C)",-8,30
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",125,19
"In The Paint (Non-RA)_Center(C)",-29,57
"Mid-Range_Left Side(L)",-189,-15
"Left Corner 3_Left Side(L)",-229,-17
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",11,63
Mid-Range_Center(C),-52,188
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side Center(RC)",123,150
"Mid-Range_Left Side(L)",-178,9
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-145,97
"Above the Break 3_Center(C)",-23,251
"Mid-Range_Right Side Center(RC)",161,158
"Mid-Range_Left Side Center(LC)",-172,148
"Mid-Range_Left Side(L)",-151,15
"Mid-Range_Left Side(L)",-151,101
Mid-Range_Center(C),1,198
"Mid-Range_Right Side(R)",176,53
"Mid-Range_Right Side Center(RC)",140,108
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-166,47
"Mid-Range_Left Side(L)",-126,85
"Mid-Range_Left Side(L)",-96,106
"Mid-Range_Right Side(R)",161,53
"Left Corner 3_Left Side(L)",-238,-6
"Restricted Area_Center(C)",-16,36
"Mid-Range_Right Side Center(RC)",89,141
"Mid-Range_Right Side Center(RC)",146,129
"Above the Break 3_Center(C)",-44,251
"Right Corner 3_Right Side(R)",233,4
"In The Paint (Non-RA)_Left Side(L)",-79,47
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-157,-13
"In The Paint (Non-RA)_Center(C)",-71,-17
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",66,7
"In The Paint (Non-RA)_Center(C)",-4,51
Mid-Range_Center(C),47,200
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",176,-13
"In The Paint (Non-RA)_Center(C)",-23,51
"Restricted Area_Center(C)",0,0
"Above the Break 3_Center(C)",16,249
"Above the Break 3_Center(C)",-4,255
"In The Paint (Non-RA)_Center(C)",37,82
"Mid-Range_Left Side(L)",-134,15
"Above the Break 3_Left Side Center(LC)",-134,222
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-4,72
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Left Side(L)",-71,38
"Right Corner 3_Right Side(R)",237,-15
"In The Paint (Non-RA)_Center(C)",-27,99
"Above the Break 3_Right Side Center(RC)",108,238
"Above the Break 3_Left Side Center(LC)",-200,150
"Mid-Range_Left Side(L)",-134,55
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-63,4
"Restricted Area_Center(C)",0,0
"Above the Break 3_Right Side Center(RC)",85,228
"Restricted Area_Center(C)",0,0
"Above the Break 3_Right Side Center(RC)",153,188
"In The Paint (Non-RA)_Center(C)",58,0
"Above the Break 3_Left Side Center(LC)",-176,171
"In The Paint (Non-RA)_Center(C)",-42,55
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-134,72
"Above the Break 3_Left Side Center(LC)",-92,238
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",144,78
"In The Paint (Non-RA)_Center(C)",1,66
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-84,125
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-162,51
"Mid-Range_Left Side(L)",-183,-2
"Mid-Range_Right Side(R)",85,34
"Mid-Range_Left Side(L)",-147,63
"Mid-Range_Right Side(R)",163,-2
"In The Paint (Non-RA)_Center(C)",43,19
"In The Paint (Non-RA)_Center(C)",-69,40
"Mid-Range_Left Side(L)",-147,-8
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-90,0
"In The Paint (Non-RA)_Center(C)",-33,101
"In The Paint (Non-RA)_Center(C)",-48,34
"Mid-Range_Left Side(L)",-176,7
"Mid-Range_Left Side(L)",-147,-2
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side Center(RC)",142,125
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Left Side(L)",-69,51
"In The Paint (Non-RA)_Center(C)",49,57
"In The Paint (Non-RA)_Center(C)",16,47
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-138,7
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",91,23
"Mid-Range_Left Side(L)",-138,19
"Mid-Range_Left Side(L)",-176,7
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",136,85
"In The Paint (Non-RA)_Center(C)",37,30
"Mid-Range_Left Side(L)",-168,0
"Restricted Area_Center(C)",0,0
"Above the Break 3_Right Side Center(RC)",108,213
"Mid-Range_Left Side(L)",-162,19
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",49,101
"Mid-Range_Right Side(R)",163,47
"Mid-Range_Left Side(L)",-168,30
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-141,26
"Mid-Range_Right Side(R)",129,15
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-56,118
"Mid-Range_Left Side(L)",-141,-6
"Mid-Range_Right Side(R)",144,9
"Above the Break 3_Right Side Center(RC)",153,194
"Mid-Range_Right Side(R)",159,15
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
Mid-Range_Center(C),-12,141
"Mid-Range_Right Side(R)",115,32
"Above the Break 3_Center(C)",-33,251
"Mid-Range_Left Side(L)",-134,91
"Mid-Range_Left Side(L)",-162,21
"Restricted Area_Center(C)",0,0
"Above the Break 3_Left Side Center(LC)",-92,228
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-33,129
"Mid-Range_Right Side Center(RC)",115,192
"Mid-Range_Left Side(L)",-134,15
"In The Paint (Non-RA)_Center(C)",-4,101
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-98,55
"Mid-Range_Right Side(R)",123,15
"Mid-Range_Right Side(R)",167,38
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",1,55
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-155,4
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-4,55
"Mid-Range_Right Side(R)",123,72
"In The Paint (Non-RA)_Right Side(R)",79,57
"Mid-Range_Left Side(L)",-191,21
"Mid-Range_Right Side Center(RC)",100,150
"Mid-Range_Left Side(L)",-128,78
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",85,42
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Above the Break 3_Center(C)",1,394
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",5,133
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side Center(RC)",138,120
"Right Corner 3_Right Side(R)",237,45
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",5,82
"Mid-Range_Left Side(L)",-164,7
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side Center(RC)",132,110
"Mid-Range_Left Side(L)",-185,-2
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",66,13
"In The Paint (Non-RA)_Center(C)",32,51
"Mid-Range_Left Side(L)",-170,-15
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side Center(RC)",159,116
"In The Paint (Non-RA)_Center(C)",60,137
"Mid-Range_Right Side(R)",81,7
"In The Paint (Non-RA)_Center(C)",-16,55
"In The Paint (Non-RA)_Left Side(L)",-71,95
"In The Paint (Non-RA)_Center(C)",-10,78
"Above the Break 3_Left Side Center(LC)",-86,253
Mid-Range_Center(C),32,148
"In The Paint (Non-RA)_Center(C)",60,28
"In The Paint (Non-RA)_Center(C)",26,68
"Restricted Area_Center(C)",0,0
Mid-Range_Center(C),5,198
"Mid-Range_Left Side(L)",-143,61
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-58,7
"Mid-Range_Right Side Center(RC)",75,181
"Restricted Area_Center(C)",0,0
"Above the Break 3_Left Side Center(LC)",-149,247
"In The Paint (Non-RA)_Center(C)",18,72
"In The Paint (Non-RA)_Center(C)",-44,82
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Left Side(L)",-79,133
"In The Paint (Non-RA)_Center(C)",-23,40
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side Center(RC)",66,154
"Above the Break 3_Left Side Center(LC)",-86,257
"Mid-Range_Right Side Center(RC)",75,198
"In The Paint (Non-RA)_Center(C)",-37,40
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Left Side(L)",-58,68
"In The Paint (Non-RA)_Right Side(R)",60,61
"In The Paint (Non-RA)_Center(C)",-79,2
"Restricted Area_Center(C)",0,0
"Above the Break 3_Right Side Center(RC)",117,253
"In The Paint (Non-RA)_Center(C)",-50,17
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-1,68
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",18,78
"In The Paint (Non-RA)_Center(C)",-16,61
Mid-Range_Center(C),18,209
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-44,45
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",172,68
"In The Paint (Non-RA)_Center(C)",-71,2
"Mid-Range_Left Side Center(LC)",-136,160
"Mid-Range_Left Side(L)",-130,-15
"In The Paint (Non-RA)_Center(C)",-50,28
"Mid-Range_Left Side Center(LC)",-86,165
"In The Paint (Non-RA)_Left Side(L)",-79,28
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
Mid-Range_Center(C),18,144
"Mid-Range_Right Side(R)",123,55
"Above the Break 3_Right Side Center(RC)",132,243
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side Center(RC)",134,104
"Mid-Range_Right Side Center(RC)",142,137
"Restricted Area_Center(C)",0,0
Mid-Range_Center(C),-16,163
"Mid-Range_Right Side(R)",193,70
"In The Paint (Non-RA)_Center(C)",-23,70
"Mid-Range_Right Side(R)",178,87
"Mid-Range_Left Side(L)",-117,53
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",163,7
"Mid-Range_Right Side(R)",205,93
"Above the Break 3_Center(C)",-1,247
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",-23,19
"Restricted Area_Center(C)",32,13
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",193,53
"Mid-Range_Left Side Center(LC)",-124,127
"Mid-Range_Right Side Center(RC)",142,120
Mid-Range_Center(C),-1,213
"Restricted Area_Center(C)",-37,7
"Mid-Range_Right Side(R)",199,82
"Right Corner 3_Right Side(R)",228,42
"In The Paint (Non-RA)_Center(C)",-45,13
"In The Paint (Non-RA)_Right Side(R)",77,110
"Mid-Range_Right Side Center(RC)",121,110
"Mid-Range_Left Side(L)",-147,13
"Above the Break 3_Center(C)",39,236
"Mid-Range_Left Side(L)",-138,7
"Mid-Range_Left Side Center(LC)",-88,184
"Left Corner 3_Left Side(L)",-233,0
"In The Paint (Non-RA)_Center(C)",-10,70
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-10,76
"Restricted Area_Center(C)",0,0
Mid-Range_Center(C),-37,194
"Mid-Range_Right Side Center(RC)",178,133
"Right Corner 3_Right Side(R)",228,76
"Above the Break 3_Left Side Center(LC)",-153,200
"Mid-Range_Left Side(L)",-168,13
"Mid-Range_Right Side(R)",199,13
"Restricted Area_Center(C)",3,36
Mid-Range_Center(C),11,200
"Mid-Range_Right Side(R)",163,57
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",113,19
"Right Corner 3_Right Side(R)",233,30
"Mid-Range_Right Side(R)",176,-2
"Mid-Range_Right Side(R)",153,7
"Mid-Range_Right Side(R)",140,-8
"Restricted Area_Center(C)",24,0
"Restricted Area_Center(C)",-8,7
"Restricted Area_Center(C)",3,0
"Restricted Area_Center(C)",-1,7
Mid-Range_Center(C),-23,224
"In The Paint (Non-RA)_Center(C)",47,7
"Mid-Range_Right Side Center(RC)",89,198
"Restricted Area_Center(C)",3,0
"Restricted Area_Center(C)",-1,7
"Mid-Range_Right Side(R)",167,-8
"In The Paint (Non-RA)_Center(C)",-65,40
"Above the Break 3_Right Side Center(RC)",140,213
"In The Paint (Non-RA)_Center(C)",-23,40
"Mid-Range_Left Side(L)",-109,7
"Mid-Range_Left Side(L)",-145,7
"Mid-Range_Left Side Center(LC)",-109,158
"Right Corner 3_Right Side(R)",233,30
"In The Paint (Non-RA)_Center(C)",-1,80
"Restricted Area_Center(C)",3,7
"Right Corner 3_Right Side(R)",233,30
"Restricted Area_Center(C)",-1,7
"Restricted Area_Center(C)",3,7
"Restricted Area_Center(C)",3,7
"Mid-Range_Right Side Center(RC)",153,148
"Mid-Range_Right Side Center(RC)",132,114
"Restricted Area_Center(C)",18,7
"Restricted Area_Center(C)",-8,19
"Above the Break 3_Left Side Center(LC)",-145,213
"Mid-Range_Left Side(L)",-172,34
"Right Corner 3_Right Side(R)",233,47
"Restricted Area_Center(C)",3,0
"Mid-Range_Left Side(L)",-115,108
"Mid-Range_Left Side(L)",-172,34
"Restricted Area_Center(C)",-1,7
"In The Paint (Non-RA)_Center(C)",-33,72
"In The Paint (Non-RA)_Left Side(L)",-71,45
"Above the Break 3_Right Side Center(RC)",174,184
"In The Paint (Non-RA)_Center(C)",-63,4
"Mid-Range_Right Side(R)",195,4
"Mid-Range_Left Side Center(LC)",-105,194
"Above the Break 3_Right Side Center(RC)",115,222
"Restricted Area_Center(C)",0,0
"Right Corner 3_Right Side(R)",237,0
"In The Paint (Non-RA)_Center(C)",79,4
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side Center(RC)",94,194
"Mid-Range_Left Side(L)",-134,61
"Restricted Area_Center(C)",0,0
"Above the Break 3_Right Side Center(RC)",201,154
"In The Paint (Non-RA)_Center(C)",1,61
"In The Paint (Non-RA)_Center(C)",7,55
"Mid-Range_Right Side(R)",108,21
"In The Paint (Non-RA)_Center(C)",7,49
"Mid-Range_Right Side Center(RC)",85,177
"In The Paint (Non-RA)_Right Side(R)",64,55
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",16,28
"Mid-Range_Right Side(R)",85,49
"Mid-Range_Left Side(L)",-170,4
"Restricted Area_Center(C)",0,0
"Above the Break 3_Right Side Center(RC)",159,198
"In The Paint (Non-RA)_Right Side(R)",73,45
"Above the Break 3_Right Side Center(RC)",167,188
"Above the Break 3_Right Side Center(RC)",123,215
"Above the Break 3_Right Side Center(RC)",167,198
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side Center(LC)",-134,144
"Mid-Range_Left Side(L)",-105,21
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",85,112
"In The Paint (Non-RA)_Right Side(R)",58,61
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side Center(LC)",-77,167
"Mid-Range_Right Side(R)",138,57
"Mid-Range_Right Side(R)",167,21
"Mid-Range_Right Side(R)",188,122
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-176,82
"In The Paint (Non-RA)_Center(C)",-48,15
"Mid-Range_Right Side(R)",159,112
"Mid-Range_Left Side(L)",-162,116
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Right Corner 3_Right Side(R)",222,47
"Right Corner 3_Right Side(R)",231,0
Mid-Range_Center(C),64,215
"In The Paint (Non-RA)_Center(C)",-33,70
"Mid-Range_Right Side(R)",174,112
"Above the Break 3_Center(C)",37,238
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side Center(RC)",153,122
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-134,82
"In The Paint (Non-RA)_Center(C)",73,21
"Mid-Range_Left Side(L)",-155,51
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",195,34
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-33,51
"In The Paint (Non-RA)_Center(C)",22,116
"Mid-Range_Left Side(L)",-98,15
"Mid-Range_Right Side Center(RC)",94,154
"In The Paint (Non-RA)_Center(C)",30,99
"In The Paint (Non-RA)_Center(C)",-71,15
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-176,4
"Mid-Range_Right Side(R)",180,15
"Mid-Range_Left Side Center(LC)",-119,160
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-162,15
"Mid-Range_Left Side(L)",-185,-6
"Mid-Range_Right Side Center(RC)",79,184
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",-16,0
"Mid-Range_Right Side Center(RC)",161,148
"Mid-Range_Right Side(R)",153,-6
"Restricted Area_Center(C)",11,9
"Mid-Range_Right Side(R)",205,-34
"Restricted Area_Center(C)",-1,9
"Mid-Range_Left Side(L)",-157,-34
"In The Paint (Non-RA)_Center(C)",47,4
"Restricted Area_Center(C)",3,9
"Mid-Range_Left Side(L)",-136,-6
"Mid-Range_Left Side(L)",-115,-23
"In The Paint (Non-RA)_Center(C)",39,30
"Mid-Range_Left Side(L)",-136,-23
"Mid-Range_Right Side(R)",119,-27
"In The Paint (Non-RA)_Center(C)",11,42
"Restricted Area_Center(C)",-8,36
"Mid-Range_Right Side(R)",98,63
"Mid-Range_Left Side(L)",-115,-6
"Right Corner 3_Right Side(R)",239,-17
"Mid-Range_Right Side(R)",83,63
"Mid-Range_Left Side(L)",-136,-17
"In The Paint (Non-RA)_Center(C)",56,-13
"In The Paint (Non-RA)_Center(C)",-1,42
"Mid-Range_Left Side(L)",-166,-23
"Mid-Range_Right Side Center(RC)",125,152
"Mid-Range_Left Side(L)",-145,15
"Restricted Area_Center(C)",3,9
"Restricted Area_Center(C)",18,15
"In The Paint (Non-RA)_Center(C)",3,91
Mid-Range_Center(C),-8,196
"Mid-Range_Left Side(L)",-101,97
"Mid-Range_Right Side(R)",125,0
"Mid-Range_Left Side(L)",-202,-27
"Mid-Range_Right Side(R)",98,9
"Mid-Range_Left Side Center(LC)",-130,125
"Above the Break 3_Left Side Center(LC)",-193,179
"Above the Break 3_Left Side Center(LC)",-214,148
"In The Paint (Non-RA)_Center(C)",-71,15
"Restricted Area_Center(C)",0,0
"Above the Break 3_Right Side Center(RC)",167,394
"In The Paint (Non-RA)_Center(C)",7,108
"Mid-Range_Left Side Center(LC)",-84,152
"In The Paint (Non-RA)_Center(C)",22,91
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-4,76
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
Mid-Range_Center(C),1,173
"Above the Break 3_Right Side Center(RC)",178,173
"Restricted Area_Center(C)",0,0
"Above the Break 3_Left Side Center(LC)",-216,129
"Above the Break 3_Right Side Center(RC)",191,192
"Mid-Range_Right Side(R)",150,68
"Mid-Range_Right Side(R)",142,51
"Mid-Range_Right Side(R)",85,114
