loc,xCoordinate,yCoordinate
"Left Corner 3_Left Side(L)",-245, 62
"Right Corner 3_Right Side(R)",245, 62
"Above the Break 3_Left Side Center(LC)",-189, 175
"Above the Break 3_Center(C)",-68, 248
"Restricted Area_Center(C)",75, 235
"Above the Break 3_Right Side Center(RC)",207, 145
