,teamName,season,thisPoint_diff,thisPoint_pointsAvg,thisPoint_expectedPointsAvg,season_diff,season_pointsAvg,season_expectedPointsAvg
0,Hawks,2015-16,-0.009032078579469971,1.0413793103448277,1.0323472317653577,0.008462262541639953,1.0328034682080924,1.0412657307497324
1,Hawks,2016-17,-0.04472625762226512,1.067067067067067,1.0223408094448019,0.0035351539886661065,1.0085346448719803,1.0120697988606464
2,Celtics,2015-16,0.06477570303825908,0.9469928644240572,1.0117685674623162,0.025099158792817655,0.9768873085339168,1.0019864673267345
3,Celtics,2016-17,-0.01599612045496035,1.021484375,1.0054882545450397,-0.032009742009796005,1.0487455197132616,1.0167357777034656
4,Cavaliers,2015-16,-0.005943367362327923,1.0454086781029264,1.0394653107405984,-0.0020982261125059853,1.0483800668313237,1.0462818407188177
5,Cavaliers,2016-17,0.005374863575977162,1.035372848948375,1.040747712524352,-0.03553479539754778,1.094163312248419,1.0586285168508711
6,Pelicans,2015-16,0.007161735573752215,0.9903846153846154,0.9975463509583676,-0.007600080645033369,0.9958369221935114,0.988236841548478
7,Pelicans,2016-17,0.03993719307515342,0.9374398460057748,0.9773770390809282,-0.011090607435332633,1.008,0.9969093925646674
8,Bulls,2015-16,0.0011887091850494302,0.9707724425887264,0.9719611517737758,0.0183851179090736,0.9736401673640168,0.9920252852730904
9,Bulls,2016-17,0.02010977588895635,0.9558270676691728,0.9759368435581292,-0.006544813826075191,0.9752031381339312,0.968658324307856
10,Mavericks,2015-16,0.018351824117323168,0.9721115537848606,0.9904633779021838,0.0008832763065147464,1.0043490866917948,1.0052323629983095
11,Mavericks,2016-17,0.05429778826047926,0.9402110199296599,0.9945088081901392,-0.00870789056244825,1.012855414398064,1.0041475238356157
12,Nuggets,2015-16,0.030079409810512603,0.9593417231364956,0.9894211329470082,0.0190381756693776,0.9767209368751784,0.995759112544556
13,Nuggets,2016-17,0.02848471748302195,0.9654450261780104,0.9939297436610324,-0.03536412148459345,1.0603616133518776,1.0249974918672842
14,Warriors,2015-16,-0.03583201656056989,1.1095406360424027,1.0737086194818328,-0.03264058576778983,1.1246332262121002,1.0919926404443103
15,Warriors,2016-17,-0.040065921114181835,1.13719806763285,1.097132146518668,-0.029249412719312806,1.1266283793248355,1.0973789666055227
16,Rockets,2015-16,0.11819790391716745,0.9473684210526316,1.065566324969799,0.017994984077400744,1.0324513959947377,1.0504463800721384
17,Rockets,2016-17,-0.030487009245888874,1.087890625,1.0574036157541111,-0.012426186706383291,1.0891532540237931,1.0767270673174099
18,Clippers,2015-16,-0.013358160632240601,1.029735682819383,1.0163775221871425,-0.017028074003980098,1.0465427509293679,1.0295146769253878
19,Clippers,2016-17,0.02656892738572192,1.0337636544190665,1.0603325818047884,-0.04011701559391767,1.0749742230078068,1.034857207413889
20,Lakers,2015-16,0.04241103989482797,0.9288840262582057,0.9712950661530336,0.049919923095824936,0.9193896646034259,0.9693095876992508
21,Lakers,2016-17,-0.07222163064915621,1.0533462657613968,0.9811246351122406,-0.01358585262306966,1.0019607843137257,0.988374931690656
22,Heat,2015-16,0.038335534945883265,0.99250936329588,1.0308448982417633,0.0013360349087652157,1.0147915732855222,1.0161276081942874
23,Heat,2016-17,0.09175364893624605,0.9332638164754952,1.0250174654117412,-0.005914639720776105,1.0250355618776672,1.019120922156891
24,Bucks,2015-16,0.005729605526040404,0.9852941176470588,0.9910237231730992,-0.003137027235571632,0.9992566161165626,0.996119588880991
25,Bucks,2016-17,0.05396369839981041,0.9756871035940804,1.0296508019938908,-0.027521171030982172,1.0540217877928668,1.0265006167618846
26,Timberwolves,2015-16,0.039373397930590026,0.9532803180914512,0.9926537160220412,0.0034047262616916374,0.9963996399639964,0.999804366225688
27,Timberwolves,2016-17,-0.01819212429033179,1.0431499460625675,1.0249578217722357,-0.012626073905756652,1.0216731686172518,1.0090470947114951
28,Nets,2015-16,0.044873046534195216,0.934034416826004,0.9789074633601992,0.0032523620952737975,0.9829430471234458,0.9861954092187196
29,Nets,2016-17,-0.003883457291076642,1.0254777070063694,1.0215942497152928,-0.008212263127359565,1.013314244810308,1.0051019816829485
30,Knicks,2015-16,0.05248815819836272,0.9196940726577438,0.9721822308561066,0.012993440887636876,0.9661238732189591,0.979117314106596
31,Knicks,2016-17,-0.009449549709272698,0.9942638623326959,0.9848143126234232,-0.007095838369279184,0.9910394265232976,0.9839435881540184
32,Magic,2015-16,0.06383000150957452,0.940147329650092,1.0039773311596665,-0.005118710551701766,1.0009846673231115,0.9958659567714098
33,Magic,2016-17,0.07747757595909088,0.9124513618677044,0.9899289378267953,0.009729779344152423,0.9784011220196354,0.9881309013637878
34,Pacers,2015-16,0.028131203832474916,0.9620379620379621,0.990169165870437,0.0007935932475660046,0.9936872309899568,0.9944808242375228
35,Pacers,2016-17,-0.018062342938796383,1.0150517403574788,0.9969893974186824,-0.03899500248703702,1.029343740965597,0.99034873847856
36,76ers,2015-16,0.05619382473033818,0.925357873210634,0.9815516979409722,0.011487716402875825,0.9737109658678286,0.9851986822707044
37,76ers,2016-17,0.006182370455048658,0.9721115537848606,0.9782939242399092,-0.00406744283888516,1.0017199369356458,0.9976524940967606
38,Suns,2015-16,0.00320465629887301,0.991761071060762,0.994965727359635,0.005419451654540497,0.9749037501782404,0.9803232018327809
39,Suns,2016-17,0.024535101757091282,0.9647495361781075,0.9892846379351988,-6.204787707853043e-06,0.9858087627445578,0.9858025579568499
40,Trail Blazers,2015-16,0.015192162703148382,1.0148285449490269,1.0300207076521752,0.003884425265398228,1.0230244457077886,1.0269088709731868
