primaryKey,teamId,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,teamId,teamName,teamAbbreviation,teamCity,season
1610612742_Total_2014-15,1610612742,Total,6863,3177,2,1.0307445723444557,1.1462050158674029,1.0190338586737817,0.22005903611973737,2014-15,2017-11-19T01:36:58.011,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612742_Total_2015-16,1610612742,Total,6898,3062,2,1.0043490866917948,1.1617433690214527,1.0052323629983095,0.2199042572313892,2015-16,2017-11-19T01:36:33.193,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612742_Total_2016-17,1610612742,Total,6612,2919,3,1.0128554143980641,1.178804756877095,1.0041475238356157,0.29684428691020376,2016-17,2017-11-19T00:45:25.28,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612742_Total_2017-18,1610612742,Total,1014,430,3,0.9901380670611439,1.19412656164969,0.9945383121561531,0.3319196060707546,2017-18,2017-11-19T00:45:39.084,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612743_Total_2013-14,1610612743,Total,7042,3147,2,0.9934677648395343,1.1397456278325404,0.9942508696423857,0.2514705068102775,2013-14,2017-11-19T01:37:07.452,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612743_Total_2014-15,1610612743,Total,7075,3065,2,0.9585865724381626,1.1290488736600695,1.0063102803289763,0.23124805446004695,2014-15,2017-11-19T01:36:58.011,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612743_Total_2015-16,1610612743,Total,7002,3092,2,0.9767209368751785,1.131411591668402,0.995759112544556,0.2397508467409943,2015-16,2017-11-19T01:36:33.193,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612743_Total_2016-17,1610612743,Total,7190,3377,2,1.0603616133518776,1.165916226877075,1.0249974918672842,0.24224014871411492,2016-17,2017-11-19T00:45:25.28,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612743_Total_2017-18,1610612743,Total,1041,478,2,1.0345821325648414,1.16082179775196,0.9820384560445011,0.25605399544108126,2017-18,2017-11-19T00:45:39.084,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612744_Total_2013-14,1610612744,Total,7005,3236,2,1.0344039971448964,1.1533836660194297,1.046425740217413,0.24745700009721644,2013-14,2017-11-19T01:37:07.452,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612744_Total_2014-15,1610612744,Total,7137,3410,3,1.0793050301247022,1.1682786769293114,1.0553112863359588,0.24253605610918055,2014-15,2017-11-19T01:36:58.011,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612744_Total_2015-16,1610612744,Total,7157,3487,2,1.1246332262121,1.197945890049641,1.0919926404443105,0.24113101387857447,2015-16,2017-11-19T01:36:33.193,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612744_Total_2016-17,1610612744,Total,7139,3531,2,1.1266283793248355,1.1816124003070905,1.0973789666055227,0.2591930322262145,2016-17,2017-11-19T00:45:25.28,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612744_Total_2017-18,1610612744,Total,1025,529,2,1.193170731707317,1.202336016960299,1.1017112388201253,0.24838205418804155,2017-18,2017-11-19T00:45:39.084,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612745_Total_2013-14,1610612745,Total,6599,3114,3,1.061221397181391,1.1612829330287182,1.054134660445373,0.2413643192045612,2013-14,2017-11-19T01:37:07.452,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612745_Total_2014-15,1610612745,Total,6831,3032,2,1.02430098082272,1.1870800869993925,1.0323585332429537,0.2412378850111533,2014-15,2017-11-19T01:36:58.011,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612745_Total_2015-16,1610612745,Total,6841,3093,3,1.0324513959947377,1.1762396875949164,1.0504463800721384,0.2451071375306139,2015-16,2017-11-19T01:36:33.193,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612745_Total_2016-17,1610612745,Total,7145,3302,2,1.089153254023793,1.2192880356224818,1.07672706731741,0.23886801242622524,2016-17,2017-11-19T00:45:25.28,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612745_Total_2017-18,1610612745,Total,993,455,2,1.0996978851963746,1.2409308096286242,1.0589754402450078,0.2523717371200538,2017-18,2017-11-19T00:45:39.084,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612746_Total_2013-14,1610612746,Total,6754,3206,3,1.051673082617708,1.1420416453253446,1.0557083072400193,0.24299233535077389,2013-14,2017-11-19T01:37:07.452,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
1610612746_Total_2014-15,1610612746,Total,6827,3227,2,1.0663541819247107,1.165576115326358,1.040625154183322,0.23666664238514754,2014-15,2017-11-19T01:36:58.011,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
1610612746_Total_2015-16,1610612746,Total,6725,3127,3,1.046542750929368,1.1608503561129424,1.0295146769253878,0.23458949612101854,2015-16,2017-11-19T01:36:33.193,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
1610612746_Total_2016-17,1610612746,Total,6789,3233,3,1.0749742230078068,1.1670614478720966,1.0348572074138893,0.23869146237677932,2016-17,2017-11-19T00:45:25.28,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
1610612746_Total_2017-18,1610612746,Total,929,423,3,1.0333692142088267,1.1691981346653688,1.0595256798518309,0.3225530333002729,2017-18,2017-11-19T00:45:39.084,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
1610612747_Total_2013-14,1610612747,Total,6973,3138,2,1.0108991825613078,1.154317844545541,0.9883201561131609,0.2343657448769997,2013-14,2017-11-19T01:37:07.452,1610612747_2017-18,1610612747,Lakers,LAL,"Los Angeles",2017-18
1610612747_Total_2014-15,1610612747,Total,7020,3054,3,0.9458689458689459,1.1065352485705928,0.9701852355366561,0.2532582435472513,2014-15,2017-11-19T01:36:58.011,1610612747_2017-18,1610612747,Lakers,LAL,"Los Angeles",2017-18
1610612747_Total_2015-16,1610612747,Total,6947,2876,2,0.919389664603426,1.1259311973664858,0.9693095876992507,0.22869933068877962,2015-16,2017-11-19T01:36:33.193,1610612747_2017-18,1610612747,Lakers,LAL,"Los Angeles",2017-18
1610612747_Total_2016-17,1610612747,Total,7140,3216,2,1.0019607843137255,1.1416468367506112,0.9883749316906559,0.2535293165140044,2016-17,2017-11-19T00:45:25.28,1610612747_2017-18,1610612747,Lakers,LAL,"Los Angeles",2017-18
1610612747_Total_2017-18,1610612747,Total,1046,481,2,0.9980879541108987,1.1113856164446156,0.9659180434574031,0.34413868560180894,2017-18,2017-11-19T00:45:39.084,1610612747_2017-18,1610612747,Lakers,LAL,"Los Angeles",2017-18
1610612748_Total_2013-14,1610612748,Total,6272,3142,3,1.1079400510204083,1.1429913834008913,1.0614690253436774,0.23178837318342627,2013-14,2017-11-19T01:37:07.452,1610612748_2017-18,1610612748,Heat,MIA,Miami,2017-18
1610612748_Total_2014-15,1610612748,Total,6324,2884,3,0.9998418722327641,1.1239584989862175,1.002901821959201,0.2442753676371523,2014-15,2017-11-19T01:36:58.011,1610612748_2017-18,1610612748,Heat,MIA,Miami,2017-18
1610612748_Total_2015-16,1610612748,Total,6693,3148,2,1.0147915732855222,1.1054876924398855,1.0161276081942874,0.2456107767113907,2015-16,2017-11-19T01:36:33.193,1610612748_2017-18,1610612748,Heat,MIA,Miami,2017-18
1610612748_Total_2016-17,1610612748,Total,7030,3200,2,1.0250355618776672,1.1590201471235,1.0191209221568913,0.2744891420417381,2016-17,2017-11-19T00:45:25.28,1610612748_2017-18,1610612748,Heat,MIA,Miami,2017-18
1610612748_Total_2017-18,1610612748,Total,1011,458,2,1.0346191889218594,1.1766725068243353,1.0214019322230452,0.2867439021576963,2017-18,2017-11-19T00:45:39.084,1610612748_2017-18,1610612748,Heat,MIA,Miami,2017-18
1610612749_Total_2013-14,1610612749,Total,6723,2946,2,0.9579056968615202,1.1147922496860754,0.9796185716398542,0.22556947294302024,2013-14,2017-11-19T01:37:07.452,1610612749_2017-18,1610612749,Bucks,MIL,Milwaukee,2017-18
1610612749_Total_2014-15,1610612749,Total,6722,3083,2,0.9983635822671824,1.115001571000264,0.9996504612988099,0.2364863998453121,2014-15,2017-11-19T01:36:58.011,1610612749_2017-18,1610612749,Bucks,MIL,Milwaukee,2017-18
1610612749_Total_2015-16,1610612749,Total,6726,3142,2,0.9992566161165626,1.0931215401855336,0.996119588880991,0.2643210522290357,2015-16,2017-11-19T01:36:33.193,1610612749_2017-18,1610612749,Bucks,MIL,Milwaukee,2017-18
1610612749_Total_2016-17,1610612749,Total,6701,3175,2,1.0540217877928668,1.147295835905917,1.0265006167618846,0.2674903064707769,2016-17,2017-11-19T00:45:25.28,1610612749_2017-18,1610612749,Bucks,MIL,Milwaukee,2017-18
1610612749_Total_2017-18,1610612749,Total,899,439,3,1.1023359288097887,1.1690222446119878,1.0239426567100087,0.2828486017013376,2017-18,2017-11-19T00:45:39.084,1610612749_2017-18,1610612749,Bucks,MIL,Milwaukee,2017-18
1610612750_Total_2013-14,1610612750,Total,7173,3188,3,0.972396486825596,1.1179270279721174,0.9748147344149712,0.23167011588721084,2013-14,2017-11-19T01:37:07.452,1610612750_2017-18,1610612750,Timberwolves,MIN,Minnesota,2017-18
1610612750_Total_2014-15,1610612750,Total,6819,2985,2,0.9348878134623845,1.083484666125972,0.9631579127652192,0.2691520590299998,2014-15,2017-11-19T01:36:58.011,1610612750_2017-18,1610612750,Timberwolves,MIN,Minnesota,2017-18
1610612750_Total_2015-16,1610612750,Total,6666,3094,2,0.9963996399639964,1.0974094356487794,0.9998043662256881,0.2596694160170923,2015-16,2017-11-19T01:36:33.193,1610612750_2017-18,1610612750,Timberwolves,MIN,Minnesota,2017-18
1610612750_Total_2016-17,1610612750,Total,6921,3235,2,1.0216731686172518,1.1225158175016958,1.0090470947114951,0.2637312371560327,2016-17,2017-11-19T00:45:25.28,1610612750_2017-18,1610612750,Timberwolves,MIN,Minnesota,2017-18
1610612750_Total_2017-18,1610612750,Total,937,438,2,1.0341515474919958,1.1386801467048342,0.9995919055030987,0.2502925666582735,2017-18,2017-11-19T00:45:39.084,1610612750_2017-18,1610612750,Timberwolves,MIN,Minnesota,2017-18
1610612751_Total_2013-14,1610612751,Total,6390,2930,2,1.0278560250391235,1.1539577150251965,1.0124110503225299,0.22325686189433416,2013-14,2017-11-19T01:37:07.452,1610612751_2017-18,1610612751,Nets,BKN,Brooklyn,2017-18
1610612751_Total_2014-15,1610612751,Total,6804,3069,2,0.9816284538506761,1.1127437447566086,1.0053944029760153,0.22308832142132667,2014-15,2017-11-19T01:36:58.011,1610612751_2017-18,1610612751,Nets,BKN,Brooklyn,2017-18
1610612751_Total_2015-16,1610612751,Total,6918,3135,2,0.982943047123446,1.1088481739389104,0.9861954092187197,0.25121961364879225,2015-16,2017-11-19T01:36:33.193,1610612751_2017-18,1610612751,Nets,BKN,Brooklyn,2017-18
1610612751_Total_2016-17,1610612751,Total,6985,3101,3,1.0133142448103079,1.1730547812094934,1.0051019816829485,0.2638762565270358,2016-17,2017-11-19T00:45:25.28,1610612751_2017-18,1610612751,Nets,BKN,Brooklyn,2017-18
1610612751_Total_2017-18,1610612751,Total,1093,472,3,0.9844464775846294,1.1670748343231045,0.9815131139567423,0.3122454730481062,2017-18,2017-11-19T00:45:39.084,1610612751_2017-18,1610612751,Nets,BKN,Brooklyn,2017-18
1610612752_Total_2013-14,1610612752,Total,6739,3027,2,1.0109808576940198,1.156617214037884,0.9947689650684242,0.22538517150965623,2013-14,2017-11-19T01:37:07.452,1610612752_2017-18,1610612752,Knicks,NYK,"New York",2017-18
1610612752_Total_2014-15,1610612752,Total,6726,2882,2,0.9402319357716324,1.1163354170380722,0.9559892793723488,0.24920132059943956,2014-15,2017-11-19T01:36:58.011,1610612752_2017-18,1610612752,Knicks,NYK,"New York",2017-18
1610612752_Total_2015-16,1610612752,Total,6878,3018,2,0.966123873218959,1.1244918636905967,0.9791173141065961,0.22597461444375777,2015-16,2017-11-19T01:36:33.193,1610612752_2017-18,1610612752,Knicks,NYK,"New York",2017-18
1610612752_Total_2016-17,1610612752,Total,7254,3243,2,0.9910394265232975,1.1360703559629608,0.9839435881540184,0.236453375991817,2016-17,2017-11-19T00:45:25.28,1610612752_2017-18,1610612752,Knicks,NYK,"New York",2017-18
1610612752_Total_2017-18,1610612752,Total,925,441,2,1.0508108108108107,1.1354779405152016,1.0136953826898136,0.28381212222250807,2017-18,2017-11-19T00:45:39.084,1610612752_2017-18,1610612752,Knicks,NYK,"New York",2017-18
1610612753_Total_2013-14,1610612753,Total,6782,3021,2,0.9737540548510764,1.1170990930207536,0.9889241087919542,0.22102045449763225,2013-14,2017-11-19T01:37:07.452,1610612753_2017-18,1610612753,Magic,ORL,Orlando,2017-18
1610612753_Total_2014-15,1610612753,Total,6792,3076,2,0.9873380447585395,1.1155892261637703,1.0061276542183368,0.2169074224517998,2014-15,2017-11-19T01:36:58.011,1610612753_2017-18,1610612753,Magic,ORL,Orlando,2017-18
1610612753_Total_2015-16,1610612753,Total,7109,3240,2,1.0009846673231115,1.126228755341667,0.9958659567714098,0.22964024460912294,2015-16,2017-11-19T01:36:33.193,1610612753_2017-18,1610612753,Magic,ORL,Orlando,2017-18
1610612753_Total_2016-17,1610612753,Total,7130,3138,2,0.9784011220196354,1.137569181521571,0.9881309013637878,0.24519829718846783,2016-17,2017-11-19T00:45:25.28,1610612753_2017-18,1610612753,Magic,ORL,Orlando,2017-18
1610612753_Total_2017-18,1610612753,Total,1032,493,2,1.0949612403100775,1.187260297492325,0.9921103118536367,0.29686449833455886,2017-18,2017-11-19T00:45:39.084,1610612753_2017-18,1610612753,Magic,ORL,Orlando,2017-18
1610612754_Total_2013-14,1610612754,Total,6572,2949,3,0.9811320754716981,1.1183510746611725,0.9844780053312054,0.2162060668430589,2013-14,2017-11-19T01:37:07.452,1610612754_2017-18,1610612754,Pacers,IND,Indiana,2017-18
1610612754_Total_2014-15,1610612754,Total,6824,2998,2,0.9683470105509965,1.1260765953412788,0.9676067374570637,0.2253848070866311,2014-15,2017-11-19T01:36:58.011,1610612754_2017-18,1610612754,Pacers,IND,Indiana,2017-18
