primaryKey,id,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,playerName
1626168_Total_2017-18,1626168,Total,664,300,3,1.0466867469879517,1.194586629393428,1.000022208557982,0.26435907681595033,2017-18,2017-12-18T08:16:44.367,1626168,"Trey Lyles"
1626169_Total_2017-18,1626169,Total,1331,598,3,1.0255447032306537,1.1748464036604895,0.9784451426864188,0.2429517839440513,2017-18,2017-12-18T08:16:44.367,1626169,"Stanley Johnson"
1626170_Total_2017-18,1626170,Total,1190,509,2,0.984873949579832,1.178136875204369,0.9618751734451125,0.2795804849423396,2017-18,2017-12-18T08:16:44.367,1626170,"Jerian Grant"
1626171_Total_2017-18,1626171,Total,751,344,2,1.0399467376830893,1.17043108238,0.9576082309979346,0.2924929622151303,2017-18,2017-12-18T08:16:44.367,1626171,"Bobby Portis"
1626172_Total_2017-18,1626172,Total,364,177,3,1.1071428571428572,1.1799858312748608,1.0566476728651404,0.2874236176845331,2017-18,2017-12-18T08:16:44.367,1626172,"Kevon Looney"
1626173_Total_2017-18,1626173,Total,256,122,2,1.05078125,1.1359533505599768,0.958509409740821,0.2959498420970448,2017-18,2017-12-18T08:16:44.367,1626173,"Rashad Vaughn"
1626175_Total_2017-18,1626175,Total,148,64,2,0.9932432432432432,1.176898245972551,0.9834536972759336,0.3374165865521422,2017-18,2017-12-18T08:16:44.367,1626175,"Jordan Mickey"
1626177_Total_2017-18,1626177,Total,143,62,2,0.972027972027972,1.146256027393727,0.9764069428432307,0.33123711899205666,2017-18,2017-12-18T08:16:44.367,1626177,"Dakari Johnson"
1626178_Total_2017-18,1626178,Total,1325,583,2,1.0037735849056604,1.1710279735232259,0.993803134557098,0.2530314673583359,2017-18,2017-12-18T08:16:44.367,1626178,"Rondae Hollis-Jefferson"
1626179_Total_2017-18,1626179,Total,1290,537,3,0.9713178294573643,1.1897295503014027,0.959695986162339,0.30240546865104106,2017-18,2017-12-18T08:16:44.367,1626179,"Terry Rozier"
1626181_Total_2017-18,1626181,Total,860,421,2,1.0988372093023255,1.1616942504974064,1.0327646986089238,0.26651258657842625,2017-18,2017-12-18T08:16:44.367,1626181,"Norman Powell"
1626185_Total_2017-18,1626185,Total,766,320,2,0.9425587467362925,1.1479761876836874,0.9789647698504135,0.25209312206082035,2017-18,2017-12-18T08:16:44.367,1626185,"Jarell Martin"
1626188_Total_2017-18,1626188,Total,126,60,2,1.0952380952380953,1.1914281907806488,1.0624781836522645,0.28551821358934776,2017-18,2017-12-18T08:16:44.367,1626188,"Quinn Cook"
1626192_Total_2017-18,1626192,Total,1059,478,2,1.0132200188857412,1.1538067387164352,0.9773258852849872,0.27490506940530546,2017-18,2017-12-18T08:16:44.367,1626192,"Pat Connaughton"
1626195_Total_2017-18,1626195,Total,277,122,3,0.9566787003610109,1.1070501741575596,0.9867607841378823,0.29017010358810214,2017-18,2017-12-18T08:16:44.367,1626195,"Willy Hernangomez"
1626196_Total_2017-18,1626196,Total,1623,736,2,1.0505237215033887,1.1950444645429017,1.0214756701029148,0.2626622737335466,2017-18,2017-12-18T08:16:44.367,1626196,"Josh Richardson"
1626202_Total_2017-18,1626202,Total,179,79,2,0.9441340782122905,1.0868470640721501,0.9181176296361434,0.34770370783306764,2017-18,2017-12-18T08:16:44.367,1626202,"Joe Young"
1626203_Total_2017-18,1626203,Total,583,236,3,0.9090909090909091,1.1358661003439132,0.9553391463265378,0.3576059102468863,2017-18,2017-12-18T08:16:44.367,1626203,"Treveon Graham"
1626204_Total_2017-18,1626204,Total,698,305,2,0.9570200573065902,1.1168869200361584,0.9660980065379083,0.27886894530297385,2017-18,2017-12-18T08:16:44.367,1626204,"Larry Nance Jr."
1626209_Total_2017-18,1626209,Total,551,250,2,1.0526315789473684,1.196996910914054,0.9640304601394765,0.2758599938037951,2017-18,2017-12-18T08:16:44.367,1626209,"Mario Hezonja"
1626220_Total_2017-18,1626220,Total,373,172,2,1.0884718498659518,1.2209964165416587,0.9650675731905111,0.3224113120604687,2017-18,2017-12-18T08:16:44.367,1626220,"Royce ONeale"
