"(concat(shotZoneArea, "_",shotZoneRange))"
"Mid-Range_Left Side(L)"
"Restricted Area_Center(C)"
"Mid-Range_Right Side(R)"
"In The Paint (Non-RA)_Center(C)"
"In The Paint (Non-RA)_Left Side(L)"
"Left Corner 3_Left Side(L)"
Mid-Range_Center(C)
"Mid-Range_Left Side Center(LC)"
"Above the Break 3_Right Side Center(RC)"
"Above the Break 3_Center(C)"
"In The Paint (Non-RA)_Right Side(R)"
"Above the Break 3_Left Side Center(LC)"
"Mid-Range_Right Side Center(RC)"
"Above the Break 3_Back Court(BC)"
"Right Corner 3_Right Side(R)"
"Backcourt_Back Court(BC)"
