,playerName,PPS-ePPSO,PPS-ePPSD
0,Vince Carter,0.14255777303000314,-0.09774304295880198
1,Dirk Nowitzki,0.16715455876489324,-0.3659220495111009
2,Jason Terry,-0.024627513474348824,-0.31003070790785214
3,Manu Ginobili,0.17772436867789942,-0.2719642488729211
4,Jamal Crawford,0.050743141067827784,-0.9645371439242939
5,Tyson Chandler,-0.05676140213667587,0.4384559627869851
6,Pau Gasol,-0.6031875582684084,0.3450585079477048
7,Joe Johnson,-0.1467957071978736,-0.12504109766571816
8,Richard Jefferson,-0.09819089607098058,-0.10771986822529131
9,Zach Randolph,-0.03361746419915753,-1.1937673733900003
10,Tony Parker,-0.17904160621044274,-0.2054108001119618
11,Nene,0.0421263202731439,0.13154782928967823
12,LeBron James,-0.12718111045980401,-0.5515388366802291
13,Carmelo Anthony,0.14218490290685462,0.4595722436587949
14,Dwyane Wade,-0.04722224331573741,0.34927484930900365
15,David West,0.30441425602676137,0.4732068529635956
16,Zaza Pachulia,0.3345496088054941,-0.0020363329899699854
17,Kyle Korver,0.352249587001478,0.20418989954945105
18,Dwight Howard,-0.08581685487875533,-0.41047271095979754
19,Shaun Livingston,0.6501123500784773,0.4370898383830054
20,Devin Harris,0.23831821532852984,-0.06350494655557373
21,Andre Iguodala,-0.03604954059097548,0.479057541125922
22,Al Jefferson,-0.23605190213632274,-0.2525841065528588
23,JR Smith,-0.4842268110452498,-0.8001327001286482
24,Jameer Nelson,0.1504659980970308,0.11970101526932599
25,Tony Allen,-0.01902270170975838,0.0747507680010517
26,Trevor Ariza,0.06379065399477549,0.004553118772930148
27,Damien Wilkins,0.02143700409251465,0.057416075797981025
28,Andrew Bogut,-0.02007668980244401,0.1369634777678036
29,Marvin Williams,0.06685934479940113,0.013891455809883815
30,Chris Paul,0.07901149456285697,0.12020878453041758
31,Raymond Felton,-0.47240868008736875,0.31139387040922173
32,Channing Frye,0.45533805331460286,0.03220676751792342
33,Gerald Green,-0.08607543393633794,0.08172409496685847
34,Jarrett Jack,-0.024028612516784866,0.01220803382931652
35,Ian Mahinmi,0.17272426209091482,0.0344375163718298
36,CJ Miles,-0.4436750949379548,0.06895610985883296
37,Ersan Ilyasova,0.20975735589190617,-0.12042185236597854
38,Lou Williams,-0.17313799752005726,-0.09534847830437167
39,Amir Johnson,-0.14277813551662277,0.364918417171998
40,Marcin Gortat,0.12380439547037073,-0.1124619383280613
41,Jose Calderon,-0.010872485065323168,-0.11351552029236192
42,LaMarcus Aldridge,0.2662257990409924,-0.05963451499831814
43,Rudy Gay,0.21081717603337194,0.01757582017541337
44,JJ Redick,-0.030340223647151436,-0.029492299725764233
45,Thabo Sefolosha,0.28323691177487187,0.39156477142971
46,Rajon Rondo,0.3220312854176329,-0.07480329661293636
47,Kyle Lowry,0.09535844704189753,0.4193862078334348
48,PJ Tucker,0.32850155192152664,-0.03759059938359556
49,Paul Millsap,0.2135000043413845,-0.08015880309737634
50,J.J. Barea,-0.11808097513464282,-0.3880374707701348
51,Kevin Durant,0.4883140372501432,0.1755687587496347
52,Al Horford,0.815021375508071,0.5018534611115436
53,Mike Conley,-0.04459202986620378,0.24829772962806726
54,Jeff Green,0.00990649082143098,0.3433452962345208
55,Corey Brewer,-0.12691278996480387,-0.0784582033060743
56,Brandan Wright,-0.2771342721494137,0.36867599432151266
57,Thaddeus Young,0.49572031033368497,-0.07187383082749789
58,Nick Young,0.08412119162292547,0.02371678822180166
59,Marco Belinelli,-0.5231210273465573,-0.352633901603888
60,Jason Smith,-0.07315348962734614,0.18437701258432385
61,Jared Dudley,0.0322163394617018,-0.08667122499336968
62,Wilson Chandler,0.05074318748785064,-0.13475049368494843
63,Aaron Brooks,0.04344093048517684,-0.17396863503884535
64,Arron Afflalo,0.0950241645166091,-0.21590287053865317
65,Marc Gasol,-0.7672556777014622,-0.19794057697839482
66,Ramon Sessions,-0.14974206676594762,0.10307169449859982
67,Anthony Tolliver,-0.5037989079967147,-0.3076420251607334
68,Michael Beasley,0.20551174039322462,0.05950160825237819
69,Derrick Rose,-0.04730784847200796,-0.1937010366676824
70,Russell Westbrook,0.5761143149367978,0.3703841130826888
71,Kevin Love,-0.2943190425119267,-0.31426851097751357
72,Danilo Gallinari,-0.28824586765731675,0.03649174250340312
73,Eric Gordon,-0.12559731983765968,0.18323735967297575
74,D.J. Augustin,-0.2891915872498183,0.30454189079388805
75,Brook Lopez,0.16789491718504682,0.3080556976872937
76,Jerryd Bayless,0.1281590605063481,0.14903844748138093
77,Robin Lopez,-0.014398636625272134,0.03751473102491141
78,Marreese Speights,-0.21741846824485234,0.2298571272670913
79,JaVale McGee,0.3386363354842211,-0.21772338051356574
80,Ryan Anderson,-0.20214320981796075,-0.3839369030340445
81,Courtney Lee,-0.1318584247711958,0.34475604525560205
82,Kosta Koufos,-0.7350590732736196,-0.5151307525221103
83,Serge Ibaka,0.2656218017862081,0.400052274390374
84,Nicolas Batum,-0.0024225495673986137,-0.26066342592532726
85,George Hill,0.22375695289331965,-0.984143104741431
86,Mario Chalmers,-0.3975663427405556,0.12691111793057527
87,DeAndre Jordan,0.014215051383702316,-0.32258175743693535
88,Omer Asik,0.054548571459285794,-0.023845099554870706
89,Luc Mbah a Moute,0.02438380371105451,0.24283593284956956
90,Goran Dragic,-0.03386474555850243,0.16045328542172738
91,Bobby Brown,-0.0161295413185471,-0.23064224570356362
92,Blake Griffin,0.08947514841543433,-0.010262683320080911
93,James Harden,0.0279687904929645,-0.3940619242252154
94,Tyreke Evans,-0.6679678628501972,0.3920898236373041
