,playerName,Luck Adjusted ORAPM,Luck Adjusted DRAPM,Luck Adjusted RAPM
0,Vince Carter,-1.2227721311885262,0.35504729861510986,-0.8677248325734164
1,Dirk Nowitzki,2.8603988135789584,0.5087019205680624,3.369100734147021
2,Jason Terry,-0.11558168640692923,-1.71543268035483,-1.8310143667617593
3,Manu Ginobili,1.2729098032942845,-0.5460511322874582,0.7268586710068263
4,Jamal Crawford,-1.7939852113450865,0.26849520150653183,-1.5254900098385547
5,Tyson Chandler,-2.2786022457334805,1.667377856504187,-0.6112243892292935
6,Pau Gasol,0.20565342980817877,0.31350264361482366,0.5191560734230024
7,Joe Johnson,0.5076223440707152,-3.8422826859162296,-3.3346603418455145
8,Richard Jefferson,-0.363930259903533,-0.5287171371311896,-0.8926473970347226
9,Zach Randolph,-1.7382407295468143,-3.1738142011312402,-4.912054930678055
10,Tony Parker,1.2800040520297011,-1.490063855709883,-0.21005980368018196
11,Nene,1.3782375583972504,0.3762429856672398,1.7544805440644902
12,LeBron James,0.43629341285743567,1.2228992615783416,1.6591926744357772
13,Carmelo Anthony,0.27717531542529994,0.9187178792831034,1.1958931947084035
14,Dwyane Wade,0.3791515029476057,0.16008753821965496,0.5392390411672606
15,Nick Collison,-0.01800262725444445,0.6996208474549934,0.681618220200549
16,David West,1.190520756930285,0.41139713968789704,1.601917896618182
17,Zaza Pachulia,0.3757590300925646,2.427906060347556,2.803665090440121
18,Kyle Korver,3.352140856949608,0.4054460320205846,3.7575868889701924
19,Udonis Haslem,-0.24614276689850265,0.771962821428474,0.5258200545299714
20,Dwight Howard,0.0,0.8089463254857168,0.8089463254857168
21,Emeka Okafor,-0.044121801210267035,0.0,-0.044121801210267035
22,Shaun Livingston,0.35640022514631914,0.2598722768772912,0.6162725020236104
23,Devin Harris,2.248359560374889,0.12820158464890352,2.3765611450237927
24,Luol Deng,0.0,0.1262162635940591,0.1262162635940591
25,Andre Iguodala,0.9271477935322101,2.849859864542981,3.777007658075191
26,Al Jefferson,-0.5470949146943066,-0.030108345624686162,-0.5772032603189927
27,JR Smith,-1.369666639812722,0.18949156895884892,-1.180175070853873
28,Jameer Nelson,-1.6936988212982382,-0.42241426941204685,-2.116113090710285
29,Tony Allen,-0.21109834649737258,-0.17248614443223512,-0.38358449092960767
30,Trevor Ariza,2.635124659400734,1.698852056348108,4.333976715748841
31,Damien Wilkins,-0.4096013405780156,0.6981421501159911,0.2885408095379755
32,Andrew Bogut,-0.21566078320264165,0.030479881346670096,-0.18518090185597155
33,Marvin Williams,0.0,0.5631211816565634,0.5631211816565634
34,Chris Paul,4.272299498913542,1.4935903582006926,5.765889857114234
35,Raymond Felton,0.520659680769809,-3.0626064846178536,-2.5419468038480444
36,Channing Frye,3.0103420266595977,-0.033435206687774666,2.976906819971823
37,Gerald Green,1.5405347391379463,-0.3238673523242237,1.2166673868137226
38,Jarrett Jack,1.0476864538480823,1.6131439347959582,2.6608303886440403
39,Ian Mahinmi,-0.6025312406831513,2.350646294837852,1.7481150541547008
40,CJ Miles,2.1921916318995147,-1.4048486946810124,0.7873429372185023
41,Ersan Ilyasova,1.703181038120683,-0.20130968353521964,1.5018713545854634
42,Lou Williams,0.7381922189664554,0.06068796925059165,0.798880188217047
43,Amir Johnson,0.5927800303899833,-1.4658598214143597,-0.8730797910243764
44,Marcin Gortat,0.06855673298611492,-1.0669524737133196,-0.9983957407272046
45,Jose Calderon,-0.2268366231898565,0.1246797340058558,-0.1021568891840007
46,LaMarcus Aldridge,-0.5109385986834113,1.4971988584621874,0.9862602597787761
47,Rudy Gay,0.38870167294693475,1.2131175349034866,1.6018192078504214
48,JJ Redick,2.540849126993566,0.15157240807491926,2.6924215350684855
49,Thabo Sefolosha,0.11072062628098378,2.537190560311826,2.6479111865928098
50,Rajon Rondo,-1.9920915500530183,0.2654156991562991,-1.7266758508967193
51,Kyle Lowry,2.389897334974583,0.35067541066659413,2.7405727456411775
52,PJ Tucker,1.7412008052862935,2.390802702577531,4.132003507863825
53,Paul Millsap,-1.1782684069848623,-0.04036365753732091,-1.2186320645221833
54,J.J. Barea,1.9752036490077152,-0.4738552536527669,1.5013483953549482
55,Kevin Durant,0.5285942947304578,-0.5625466790372298,-0.03395238430677194
56,Al Horford,2.8473456696090333,-0.26245550628302844,2.584890163326005
57,Mike Conley,-0.39492535746300905,0.9678111514651998,0.5728857940021908
58,Jeff Green,3.478582478150643,0.40255565031084783,3.8811381284614908
59,Corey Brewer,-1.7712152012998759,-1.1598743561690372,-2.931089557468913
60,Brandan Wright,0.433513274470736,0.4775311053659721,0.911044379836708
61,Joakim Noah,-0.20407134860676712,0.11189528709362356,-0.09217606151314356
62,Thaddeus Young,0.7799517814591636,1.9243148356319564,2.70426661709112
63,Nick Young,1.6340409146364518,-0.8014381186347526,0.8326027960016993
64,Marco Belinelli,-3.474752361502055,0.7093708096358088,-2.765381551866246
65,Jason Smith,-0.014284413191010965,-1.8866879869447526,-1.9009724001357635
66,Jared Dudley,-1.3145304004349971,0.6319912210878335,-0.6825391793471637
67,Wilson Chandler,0.9541578448929358,-0.22007534518421445,0.7340824997087213
68,Aaron Brooks,-0.8504356286453907,-1.5086653251955588,-2.3591009538409495
69,Arron Afflalo,-0.4058297005063393,0.26299826344815597,-0.14283143705818335
70,Josh McRoberts,-0.01733075077676242,0.0,-0.01733075077676242
71,Marc Gasol,-0.8536187613441603,-1.594817481016639,-2.448436242360799
72,Ramon Sessions,-1.015027379222105,-0.8338097427505894,-1.8488371219726942
