,playerName,ePPS-PPS,PPS,expectedPPS
151,Ramon Sessions,0.10648451135123682,0.9028776978417267,1.0093622091929635
212,Quincy Pondexter,0.09555946676129579,0.8409785932721713,0.9365380600334671
145,Jason Smith,0.09489282881630379,0.8771331058020477,0.9720259346183515
275,Nerlens Noel,0.06677207097194682,0.946236559139785,1.0130086301117318
229,Kawhi Leonard,0.06059697741641179,0.9773462783171522,1.037943255733564
114,Sindarius Thornwell,0.05747358123188029,0.9479277364505845,1.0054013176824648
291,Mike Muscala,0.056886980984349744,0.9060402684563759,0.9629272494407256
157,Danilo Gallinari,0.054937050136993015,0.9983974358974359,1.053334486034429
167,Kosta Koufos,0.049217250346523356,0.9258443465491923,0.9750615968957157
192,Patrick Beverley,0.046803001533044286,1.0307692307692307,1.077572232302275
290,Michael Carter-Williams,0.04629974236307821,0.889308176100629,0.9356079184637072
112,Wes Iwundu,0.04252015934929887,0.9150641025641025,0.9575842619134014
102,Jarrett Allen,0.04235190219406315,0.9692144373673036,1.0115663395613668
308,Joffrey Lauvergne,0.04045299044748463,0.963718820861678,1.0041718113091627
213,Hassan Whiteside,0.038466656923037745,0.9952516619183286,1.0337183188413663
338,Jamil Wilson,0.038162873107736583,1.049800796812749,1.0879636699204855
8,CJ Miles,0.03729118952359589,1.0026455026455026,1.0399366921690985
74,Cheick Diallo,0.03591515585129379,0.9961832061068703,1.032098361958164
0,Andrew Bogut,0.03570911723097325,0.9322429906542056,0.9679521078851788
295,Rudy Gobert,0.03481354624902411,0.9789356984478935,1.0137492446969176
141,Brandan Wright,0.03415523096703876,0.9981916817359855,1.0323469127030243
297,Shane Larkin,0.03393091901278733,0.9320882852292021,0.9660192042419894
233,Kenneth Faried,0.03161931593960321,0.9701298701298702,1.0017491860694734
39,Jarell Martin,0.030745984974253737,0.9489704565801254,0.9797164415543791
296,Shabazz Muhammad,0.030201974755218464,0.9821029082774049,1.0123048830326233
280,Brandon Paul,0.02992859286048244,0.9910141206675225,1.020942713528005
44,Treveon Graham,0.0295165111197222,0.9263285024154589,0.9558450135351811
49,Cristiano Felicio,0.028197019402634194,0.9168081494057725,0.9450051688084067
333,Johnny OBryant III,0.027987765634681305,0.8742393509127789,0.9022271165474602
20,DAngelo Russell,0.027395236533656275,0.966824644549763,0.9942198810834193
221,Tristan Thompson,0.026434421970557676,1.0058565153733527,1.0322909373439104
325,Sean Kilpatrick,0.025587684005998756,0.9883720930232558,1.0139597770292545
41,Willy Hernangomez,0.02504401291967495,0.9603960396039604,0.9854400525236353
88,Josh Jackson,0.024911475561376406,0.941712204007286,0.9666236795686624
91,Malik Monk,0.02443128621727142,0.9137931034482759,0.9382243896655473
99,John Collins,0.023111425618230097,0.9865671641791045,1.0096785897973346
310,Troy Daniels,0.02271774511320046,0.9799857040743388,1.0027034491875393
353,Joe Johnson,0.021982812037393162,0.9851150202976996,1.0070978323350928
154,Derrick Rose,0.02132237043976981,1.0356083086053411,1.056930679045111
152,Anthony Tolliver,0.020220848044287587,0.9743589743589743,0.9945798224032619
138,Mike Conley,0.01992367207656698,1.0,1.019923672076567
282,Cody Zeller,0.01853723560906917,0.9206798866855525,0.9392171222946216
116,Damyean Dotson,0.018379780126524303,0.9691358024691358,0.9875155825956601
242,DeAndre Liggins,0.018038760883513527,0.9720194647201946,0.9900582256037082
243,DeAndre Liggins,0.018038760883513527,0.9720194647201946,0.9900582256037082
191,Jodie Meeks,0.0180284945150212,0.9763365468886941,0.9943650414037153
346,Tim Frazier,0.015610345127681002,0.9879649890590809,1.003575334186762
75,Patrick McCaw,0.014906335443755081,1.061131386861314,1.076037722305069
187,DeMarre Carroll,0.013479411840114364,0.9909766454352441,1.0044560572753585
109,Semi Ojeleye,0.012123968441648536,0.9498364231188658,0.9619603915605144
304,James Ennis III,0.011887757426501167,0.9858299595141701,0.9977177169406712
216,Timofey Mozgov,0.011586131733040017,0.9809358752166378,0.9925220069496778
193,Danny Green,0.010766121376978965,1.0087483176312249,1.0195144390082038
111,Dwayne Bacon,0.010604347462320085,0.9436450839328537,0.9542494313951738
276,Alex Len,0.010603293783334022,0.975,0.985603293783334
126,Manu Ginobili,0.0105463255239302,1.0205047318611988,1.031051057385129
171,Mario Chalmers,0.00944772850252451,1.0007017543859649,1.0101494828884894
352,Pau Gasol,0.007544489194541315,1.0146659424225963,1.0222104316171376
62,Caris LeVert,0.006701855119676803,0.9989344698987747,1.0056363250184515
60,Brandon Ingram,0.006691866353884635,0.9791583166332666,0.9858501829871512
68,Tyler Ulis,0.006432890554207593,0.9792507204610951,0.9856836110153027
174,Goran Dragic,0.00631276046913376,1.0275403608736942,1.033853121342828
214,Nemanja Bjelica,0.006215500860464629,0.9985569985569985,1.0047724994174632
150,Marc Gasol,0.005632228072965595,0.9921976592977894,0.997829887370755
81,Juan Hernangomez,0.005623627054385905,1.0294117647058822,1.0350353917602682
17,Andrew Harrison,0.00545278983107822,0.9675438596491228,0.972996649480201
195,Garrett Temple,0.0051973435936699675,0.9670641680863146,0.9722615116799845
115,Dillon Brooks,0.005116707166817114,0.9972082635399219,1.002324970706739
278,Andre Roberson,0.004998223105961652,0.994588093806374,0.9995863169123357
18,Delon Wright,0.0038008029517777597,1.0219981668194318,1.0257989697712095
248,Dion Waiters,0.00379335194339947,1.0213454075032342,1.0251387594466337
19,Sam Dekker,0.0029007275028143376,1.0273833671399595,1.0302840946427738
159,D.J. Augustin,0.002881868526144138,0.9845559845559846,0.9874378530821287
148,Aaron Brooks,0.002802285384825076,1.0,1.002802285384825
198,Evan Turner,0.0024672531017625454,0.9789419619928095,0.981409215094572
16,Montrezl Harrell,0.0020757548315926133,1.0311004784688995,1.0331762333004921
223,Bismack Biyombo,0.0015963956087263753,0.9432624113475178,0.9448588069562441
51,Malcolm Delaney,0.0008100625570343079,0.9908424908424909,0.9916525533995252
347,Tarik Black,0.0003688665411250014,1.0189003436426116,1.0192692101837366
53,Dragan Bender,0.00024962627142077753,0.982367758186398,0.9826173844578188
277,Allen Crabbe,0.00023184924094432624,1.011173184357542,1.0114050335984863
253,Austin Rivers,-7.47777964644758e-05,1.049808429118774,1.0497336513223094
324,Doug McDermott,-0.00015591663527181332,0.9959560947429231,0.9958001781076513
23,Justise Winslow,-0.00030047718900205744,1.0219885277246654,1.0216880505356634
172,DeAndre Jordan,-0.0005991257830950669,1.045971978984238,1.045372853201143
327,TJ Warren,-0.0010281444949082896,0.9974926870037609,0.9964645425088526
33,Kevon Looney,-0.001062889202511963,1.0578034682080926,1.0567405790055806
45,Larry Nance Jr.,-0.0011471716029799461,0.999176276771005,0.998029105168025
279,Ben McLemore,-0.001479612621571258,1.0029498525073746,1.0014702398858033
293,Reggie Bullock,-0.0017173719517868946,1.0009541984732824,0.9992368265214955
128,Rudy Gay,-0.0018888201740299149,1.0110213078618662,1.0091324876878363
169,Nicolas Batum,-0.0019907731789975402,0.9971408148677627,0.9951500416887652
84,Abdel Nader,-0.002312344679177958,0.946969696969697,0.9446573522905191
341,Bogdan Bogdanovic,-0.0023501206325202695,1.001752336448598,0.9994022158160778
312,C.J. Williams,-0.002385408996359306,1.044806517311609,1.0424211083152497
320,Nik Stauskas,-0.002896870145953412,1.0,0.9971031298540466
175,Blake Griffin,-0.0032349099085082766,1.0480320213475651,1.0447971114390568
94,Frank Ntilikina,-0.004111389903422635,0.9851694915254238,0.9810581016220011
288,Kentavious Caldwell-Pope,-0.00463251154535349,0.9972590223846505,0.992626510839297
323,Joe Harris,-0.005249949897664141,1.0290763968072976,1.0238264469096334
351,Tyson Chandler,-0.005318355434406952,0.9932569116655429,0.9879385562311359
373,,-0.005836565592689302,0.9816733067729083,0.975836741180219
118,Milos Teodosic,-0.005961858512735896,1.0843949044585988,1.0784330459458629
260,Tomas Satoransky,-0.006242691019214153,1.0,0.9937573089807858
120,Daniel Theis,-0.006599224397533132,0.9754601226993865,0.9688608983018534
200,Wesley Johnson,-0.008142131156211985,1.0517711171662125,1.0436289860100005
10,Lou Williams,-0.00834401622962444,1.0467914438502675,1.038447427620643
