playerId,shots
101106,1878
101107,8118
101108,6653
101109,5936
101112,4943
101114,5548
101123,1915
101127,109
101133,1913
101135,5155
101138,2002
101139,6106
101141,7637
101145,6891
101150,7298
101161,5730
101162,9194
101179,493
101181,1911
101187,1065
101249,32
1626143,4024
1626144,5179
1626145,2654
1626147,4170
1626148,569
1626149,3890
1626150,4852
1626151,55
1626153,1445
1626154,37
1626155,5174
1626156,6499
1626157,10565
1626158,4193
1626159,2225
1626161,4879
1626162,5624
1626163,6935
1626164,9925
1626166,1612
1626167,8813
1626168,3919
1626169,4815
1626170,3708
1626171,3583
1626172,1620
1626173,1541
1626174,373
1626175,478
1626176,771
1626178,6470
1626179,4461
1626181,4650
1626184,1052
1626185,1898
1626188,626
1626191,290
1626192,1084
1626195,4778
1626196,5669
1626199,1294
1626202,497
1626203,658
1626204,5087
1626209,3376
1626210,2602
1626245,3654
1626246,1052
1626253,170
1626254,1146
1626257,2912
1626273,832
1626780,674
1627098,4325
1627362,685
1627733,2022
1627734,5768
1627735,1369
1627736,600
1627737,6329
1627738,798
1627739,4554
1627740,527
1627741,6770
1627742,8133
1627743,56
1627744,31
1627745,282
1627746,2138
1627747,4542
1627748,1832
1627749,1095
1627750,6454
1627751,2079
1627752,3447
1627754,80
1627755,4119
1627756,3450
1627757,389
1627758,2979
1627759,4650
1627761,1276
1627762,177
1627763,6745
1627767,721
1627770,1315
1627771,115
1627773,544
1627774,868
1627775,3939
1627777,336
1627778,185
1627780,329
1627781,668
1627782,796
1627783,2967
1627784,405
1627785,5979
1627786,1944
1627787,163
1627789,4190
1627791,32
1627812,4090
1627815,1017
1627816,560
1627817,277
1627819,194
1627823,3136
1627826,2258
1627827,5433
1627832,1013
1627834,1220
1627835,3031
1627848,861
1627849,252
1627850,614
1627851,3693
1627852,1682
1627854,977
1627855,1612
1627861,75
1627863,2
1627868,152
1627875,168
1627879,528
1627884,1994
1628021,1432
1713,5993
1717,4944
1718,982
1891,4617
1897,562
1938,4504
200746,8017
200751,4652
200752,3462
200755,7709
200757,5601
200765,6680
200768,7753
200770,124
200771,5333
200779,63
200782,7840
200794,8287
200826,2594
201142,7626
201143,7793
201144,7698
201145,5464
201147,4609
201148,1509
201149,3784
201150,2838
201152,7881
201155,2407
201156,5670
201158,6232
201160,3752
201162,4908
201163,8032
201166,3106
201167,5306
201168,276
201177,1352
201188,8382
201196,2934
201202,431
201228,3527
201229,4984
201563,3228
201565,7702
201566,10197
201567,6917
201568,7779
201569,8544
201571,5318
201572,8185
201573,247
201575,3597
201577,8262
201578,4447
201579,2470
201580,2845
201582,2181
201583,7633
201584,8911
201585,4907
201586,8546
201587,9334
201588,5147
201589,2303
201599,8989
201600,1758
201601,6289
201609,8740
201627,2556
201628,449
201933,7182
201935,10718
201936,2781
201937,8600
201939,9820
201941,147
201942,9172
201943,6541
201945,5882
201949,7282
201950,7930
201951,5961
201952,9291
201954,7004
201956,2202
201959,7213
201960,6548
201961,5270
201962,1324
201967,5988
201973,4374
201975,2659
201976,7483
201977,2010
201980,6224
201988,6181
202066,5812
202083,8246
202087,310
202130,284
202322,10142
202323,5825
202324,3950
202325,2809
202326,8351
202328,6197
202329,6208
202330,8439
202331,9343
202332,1828
202334,2775
202335,5506
202336,38
202337,3780
202338,1955
202339,7837
202340,6543
202344,6393
202348,1602
202349,153
202355,8879
202357,4087
202362,1264
202389,4008
202390,60
202391,3290
202397,7033
202407,82
202412,93
202498,3474
202620,92
202681,9275
202682,2840
202683,5409
202684,8557
202685,7224
202687,6274
202688,4052
202689,9766
202691,9679
202692,2229
202693,8420
202694,9229
202695,8539
202696,7893
202697,6854
202699,9077
202700,1707
202702,4723
202703,5978
202704,5064
202708,426
202709,7004
202710,10103
202711,7525
202712,106
202713,1359
202714,4016
202718,2255
202720,6917
202722,2786
202730,3042
202732,2686
202734,6589
202738,9172
203076,9795
203077,8363
203078,9577
203079,4895
203080,1962
203081,9654
203082,7039
203083,8626
