teamId,corner3s,cornerPercent,aboveTheBreak3s,aboveTheBreakPercent,long3s,longPercent,total3s
"Nets",415,0.2065704330512693,1386,0.6898954703832753,208,0.10353409656545545,2009
"Raptors",435,0.2126099706744868,1353,0.6612903225806451,258,0.12609970674486803,2046
"Jazz",432,0.20272172688878462,1492,0.7001407789770061,207,0.09713749413420929,2131
"Spurs",488,0.2265552460538533,1469,0.6819870009285051,197,0.0914577530176416,2154
"Trail Blazers",429,0.1968793024323084,1505,0.6906837999082148,245,0.11243689765947683,2179
"Heat",457,0.20953690967446126,1481,0.6790463090325539,243,0.11141678129298486,2181
"Bucks",512,0.23000898472596587,1119,0.5026954177897575,595,0.2672955974842767,2226
"Magic",559,0.24800354924578527,1449,0.6428571428571429,246,0.10913930789707187,2254
"Celtics",444,0.19559471365638767,1432,0.6308370044052863,394,0.173568281938326,2270
"Nuggets",619,0.26184433164128595,1580,0.6683587140439933,165,0.06979695431472081,2364
"Rockets",543,0.22959830866807612,1508,0.6376321353065539,314,0.13276955602536997,2365
"Grizzlies",568,0.23895666806899454,1575,0.6625999158603282,234,0.09844341607067733,2377
"Warriors",489,0.2044314381270903,1581,0.6609531772575251,322,0.1346153846153846,2392
"Wizards",482,0.2014208106978688,1533,0.6406184705390723,378,0.15796071876305892,2393
"Suns",486,0.20258441017090453,1670,0.6961233847436432,243,0.10129220508545227,2399
"Mavericks",512,0.21148285832300703,1674,0.6914498141263941,235,0.09706732755059892,2421
"76ers",493,0.20313143798928718,1551,0.6390605686032138,383,0.15780799340749896,2427
"Timberwolves",609,0.2505141916906623,1622,0.667215137803373,200,0.08227067050596462,2431
"Hornets",508,0.20591811917308472,1617,0.6554519659505472,342,0.13862991487636805,2467
"Lakers",525,0.21272285251215559,1623,0.6576175040518638,320,0.12965964343598055,2468
"Clippers",606,0.24465078724263223,1602,0.6467501009285426,269,0.10859911182882519,2477
"Knicks",642,0.2574178027265437,1594,0.6391339214113874,258,0.10344827586206896,2494
"Pacers",535,0.2143429487179487,1361,0.5452724358974359,600,0.2403846153846154,2496
"Thunder",638,0.2555066079295154,1666,0.6672006407689227,193,0.07729275130156188,2497
"Pelicans",539,0.214826624153049,1579,0.6293343961737744,391,0.15583897967317656,2509
"Hawks",589,0.23335974643423138,1767,0.7000792393026941,168,0.06656101426307448,2524
"Pistons",627,0.24802215189873417,1528,0.6044303797468354,373,0.1475474683544304,2528
"Kings",578,0.22351121423047177,1776,0.6867749419953596,232,0.0897138437741686,2586
"Cavaliers",590,0.22727272727272727,1552,0.5978428351309707,454,0.174884437596302,2596
"Bulls",611,0.22815533980582525,1852,0.6915608663181478,215,0.08028379387602688,2678
"League",15960,0.22372054556413742,46497,0.6517753262591289,8882,0.12450412817673362,71339
