primaryKey,teamId,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,teamId,teamName,teamAbbreviation,teamCity,season
1610612737_Total_2015-16,1610612737,Total,6920,3166,2,1.032514450867052,1.1624970786559647,1.041134468277577,0.21987740503760814,2015-16,2017-12-05T23:43:54.279,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612738_Total_2015-16,1610612738,Total,7312,3214,2,0.9768873085339168,1.1370220733028888,1.00284469383919,0.22791361499403312,2015-16,2017-12-05T23:43:54.279,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612739_Total_2015-16,1610612739,Total,6883,3169,2,1.0483800668313235,1.1748792870778504,1.0466173025405003,0.23629223019577592,2015-16,2017-12-05T23:43:54.279,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612740_Total_2015-16,1610612740,Total,6966,3124,2,0.9958369221935114,1.138731587469539,0.9895153693620724,0.21330821580762868,2015-16,2017-12-05T23:43:54.279,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612741_Total_2015-16,1610612741,Total,7170,3165,2,0.9736401673640167,1.1276923766975526,0.9919769326389087,0.21817799909206487,2015-16,2017-12-05T23:43:54.279,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612742_Total_2015-16,1610612742,Total,6898,3062,2,1.0043490866917948,1.1617433690214527,1.0072688579583113,0.21785548990024273,2015-16,2017-12-05T23:43:54.279,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612743_Total_2015-16,1610612743,Total,7002,3092,2,0.9767209368751785,1.131411591668402,0.9962008034434731,0.2286677330433143,2015-16,2017-12-05T23:43:54.279,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612744_Total_2015-16,1610612744,Total,7157,3487,2,1.1246332262121,1.197945890049641,1.0892556957285962,0.23663813983882567,2015-16,2017-12-05T23:43:54.279,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612745_Total_2015-16,1610612745,Total,6841,3093,3,1.0324513959947377,1.1762396875949164,1.0502694652386282,0.24123265033959995,2015-16,2017-12-05T23:43:54.279,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612746_Total_2015-16,1610612746,Total,6725,3127,3,1.046542750929368,1.1608503561129424,1.0299898468011388,0.23133718035376957,2015-16,2017-12-05T23:43:54.279,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
1610612747_Total_2015-16,1610612747,Total,6947,2876,2,0.919389664603426,1.1259311973664858,0.9684729770156384,0.21580311419397255,2015-16,2017-12-05T23:43:54.279,1610612747_2017-18,1610612747,Lakers,LAL,"Los Angeles",2017-18
1610612748_Total_2015-16,1610612748,Total,6693,3148,2,1.0147915732855222,1.1054876924398855,1.0148907474865636,0.2387436454817405,2015-16,2017-12-05T23:43:54.279,1610612748_2017-18,1610612748,Heat,MIA,Miami,2017-18
1610612749_Total_2015-16,1610612749,Total,6726,3142,2,0.9992566161165626,1.0931215401855336,0.9972331381341029,0.2544290235945736,2015-16,2017-12-05T23:43:54.279,1610612749_2017-18,1610612749,Bucks,MIL,Milwaukee,2017-18
1610612750_Total_2015-16,1610612750,Total,6666,3094,2,0.9963996399639964,1.0974094356487794,1.000501904254096,0.24783567584885555,2015-16,2017-12-05T23:43:54.279,1610612750_2017-18,1610612750,Timberwolves,MIN,Minnesota,2017-18
1610612751_Total_2015-16,1610612751,Total,6918,3135,2,0.982943047123446,1.1088481739389104,0.9875606256784428,0.22961308056097285,2015-16,2017-12-05T23:43:54.279,1610612751_2017-18,1610612751,Nets,BKN,Brooklyn,2017-18
1610612752_Total_2015-16,1610612752,Total,6878,3018,2,0.966123873218959,1.1244918636905967,0.9801481590325661,0.21232866645634496,2015-16,2017-12-05T23:43:54.279,1610612752_2017-18,1610612752,Knicks,NYK,"New York",2017-18
1610612753_Total_2015-16,1610612753,Total,7109,3240,2,1.0009846673231115,1.126228755341667,0.9982737361769162,0.21681712713390777,2015-16,2017-12-05T23:43:54.279,1610612753_2017-18,1610612753,Magic,ORL,Orlando,2017-18
1610612754_Total_2015-16,1610612754,Total,6970,3135,2,0.9936872309899569,1.1323926395575088,0.9952150726200905,0.22800087482221837,2015-16,2017-12-05T23:43:54.279,1610612754_2017-18,1610612754,Pacers,IND,Indiana,2017-18
1610612755_Total_2015-16,1610612755,Total,6885,2970,2,0.9737109658678286,1.1542124978400887,0.9876243460632633,0.2666882818205589,2015-16,2017-12-05T23:43:54.279,1610612755_2017-18,1610612755,76ers,PHI,Philadelphia,2017-18
1610612756_Total_2015-16,1610612756,Total,7013,3050,3,0.9749037501782404,1.1465783081110121,0.9802675659007092,0.2382015188839716,2015-16,2017-12-05T23:43:54.279,1610612756_2017-18,1610612756,Suns,PHX,Phoenix,2017-18
1610612757_Total_2015-16,1610612757,Total,7036,3167,2,1.0230244457077886,1.1695559012823669,1.0267708275341385,0.22514796817194435,2015-16,2017-12-05T23:43:54.279,1610612757_2017-18,1610612757,"Trail Blazers",POR,Portland,2017-18
1610612758_Total_2015-16,1610612758,Total,7082,3283,2,1.0203332391979667,1.1310033591266446,1.0087175548871896,0.23220953860007834,2015-16,2017-12-05T23:43:54.279,1610612758_2017-18,1610612758,Kings,SAC,Sacramento,2017-18
1610612759_Total_2015-16,1610612759,Total,6792,3288,2,1.0519729093050647,1.1174184109085825,1.0368246499243263,0.22148005394647305,2015-16,2017-12-05T23:43:54.279,1610612759_2017-18,1610612759,Spurs,SAS,"San Antonio",2017-18
1610612760_Total_2015-16,1610612760,Total,7080,3372,3,1.0483050847457627,1.1335584477127403,1.034447153977396,0.22028755380129747,2015-16,2017-12-05T23:43:54.279,1610612760_2017-18,1610612760,Thunder,OKC,"Oklahoma City",2017-18
1610612761_Total_2015-16,1610612761,Total,6658,3006,3,1.0093121057374588,1.1484459080956058,1.013803000730424,0.21784900951097577,2015-16,2017-12-05T23:43:54.279,1610612761_2017-18,1610612761,Raptors,TOR,Toronto,2017-18
1610612762_Total_2015-16,1610612762,Total,6592,2957,2,1.0024271844660195,1.1470969825678443,1.0091951070646907,0.24693398123897922,2015-16,2017-12-05T23:43:54.279,1610612762_2017-18,1610612762,Jazz,UTA,Utah,2017-18
1610612763_Total_2015-16,1610612763,Total,6832,3010,2,0.954771662763466,1.1040048744686404,0.9825146053831493,0.22446897405263477,2015-16,2017-12-05T23:43:54.279,1610612763_2017-18,1610612763,Grizzlies,MEM,Memphis,2017-18
1610612764_Total_2015-16,1610612764,Total,7027,3237,2,1.0220577771452968,1.1409540549372519,1.0056340799577854,0.23954402147585788,2015-16,2017-12-05T23:43:54.279,1610612764_2017-18,1610612764,Wizards,WAS,Washington,2017-18
1610612765_Total_2015-16,1610612765,Total,7083,3111,2,0.9829168431455598,1.1459208872957638,0.9843281636016165,0.22335878405152076,2015-16,2017-12-05T23:43:54.279,1610612765_2017-18,1610612765,Pistons,DET,Detroit,2017-18
1610612766_Total_2015-16,1610612766,Total,6921,3036,2,1.0034677069787603,1.1740534481298077,0.9859396043260051,0.21076859104147966,2015-16,2017-12-05T23:43:54.279,1610612766_2017-18,1610612766,Hornets,CHA,Charlotte,2017-18
