primaryKey,id,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,playerName
1626172_Total_2017-18,1626172,Total,366,157,3,0.9754098360655737,1.1626927110079945,0.992856034819511,0.27617250212474537,2017-18,2017-12-11T07:02:47.169,1626172,"Kevon Looney"
1626173_Total_2017-18,1626173,Total,174,78,2,1.0114942528735633,1.1596100501279618,1.0324316126070898,0.30988152590576235,2017-18,2017-12-11T07:02:47.169,1626173,"Rashad Vaughn"
1626177_Total_2017-18,1626177,Total,107,41,2,0.8785046728971962,1.1496466777332168,0.9586406536486572,0.3342476698041812,2017-18,2017-12-11T07:02:47.169,1626177,"Dakari Johnson"
1626178_Total_2017-18,1626178,Total,1183,561,2,1.054945054945055,1.1473916803585624,0.9854973916392411,0.26382515673659823,2017-18,2017-12-11T07:02:47.169,1626178,"Rondae Hollis-Jefferson"
1626179_Total_2017-18,1626179,Total,1136,485,2,0.9568661971830986,1.1432927657839733,0.991521152569941,0.2621873497646016,2017-18,2017-12-11T07:02:47.169,1626179,"Terry Rozier"
1626181_Total_2017-18,1626181,Total,741,330,2,1.0026990553306343,1.1558655214878173,0.9807569252405035,0.2820120222358176,2017-18,2017-12-11T07:02:47.169,1626181,"Norman Powell"
1626185_Total_2017-18,1626185,Total,702,313,2,1.0242165242165242,1.181883859518679,1.0264115511108862,0.2407977195454642,2017-18,2017-12-11T07:02:47.169,1626185,"Jarell Martin"
1626188_Total_2017-18,1626188,Total,108,52,2,1.0925925925925926,1.174868290782363,1.021818290639748,0.25949205304701906,2017-18,2017-12-11T07:02:47.169,1626188,"Quinn Cook"
1626192_Total_2017-18,1626192,Total,874,388,2,0.9988558352402745,1.1545348136661322,1.0122710399786756,0.28017323779211073,2017-18,2017-12-11T07:02:47.169,1626192,"Pat Connaughton"
1626195_Total_2017-18,1626195,Total,259,109,3,0.9613899613899614,1.1651534765823295,1.009868863239971,0.31303061945401356,2017-18,2017-12-11T07:02:47.169,1626195,"Willy Hernangomez"
1626196_Total_2017-18,1626196,Total,1402,625,2,0.9964336661911555,1.1465330013581116,0.9993825961851387,0.2636516838542606,2017-18,2017-12-11T07:02:47.169,1626196,"Josh Richardson"
1626202_Total_2017-18,1626202,Total,159,81,2,1.1383647798742138,1.1573010644288284,0.9505040229130403,0.34270103078278547,2017-18,2017-12-11T07:02:47.169,1626202,"Joe Young"
1626203_Total_2017-18,1626203,Total,475,216,3,1.023157894736842,1.1578066952174322,0.9964186203402773,0.27093236372799506,2017-18,2017-12-11T07:02:47.169,1626203,"Treveon Graham"
1626204_Total_2017-18,1626204,Total,614,289,3,1.0570032573289903,1.1591618377574218,1.0484006394953334,0.27534490137011813,2017-18,2017-12-11T07:02:47.169,1626204,"Larry Nance Jr."
1626209_Total_2017-18,1626209,Total,420,184,2,1.0047619047619047,1.177154029843728,0.968080315278991,0.3196201590387197,2017-18,2017-12-11T07:02:47.169,1626209,"Mario Hezonja"
1626220_Total_2017-18,1626220,Total,321,130,3,0.9439252336448598,1.1826769548176397,0.9789842984557834,0.3009079225778302,2017-18,2017-12-11T07:02:47.169,1626220,"Royce ONeale"
1626224_Total_2017-18,1626224,Total,198,84,3,0.98989898989899,1.193373534915771,0.9729567667419424,0.34121665613539165,2017-18,2017-12-11T07:02:47.169,1626224,"Cedi Osman"
