primaryKey,teamId,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,teamId,teamName,teamAbbreviation,teamCity,season
1610612737_Total_2013-14,1610612737,Total,6669,3055,2,1.0308891887839255,1.1589544480574787,1.023385454205854,0.21519953741776546,2013-14,2017-12-05T23:43:23.206,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612738_Total_2013-14,1610612738,Total,6881,2996,2,0.9543670978055515,1.1174112693537155,0.949019040109676,0.23538717749726212,2013-14,2017-12-05T23:43:23.206,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612739_Total_2013-14,1610612739,Total,6951,3035,2,0.9572723349158394,1.1181343440639753,0.9631932552550021,0.22281936353517695,2013-14,2017-12-05T23:43:23.206,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612740_Total_2013-14,1610612740,Total,6761,3101,2,0.9892027806537494,1.102511674655024,1.0036250580956019,0.22715505295299182,2013-14,2017-12-05T23:43:23.206,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612741_Total_2013-14,1610612741,Total,6577,2843,3,0.9417667629618367,1.1082984608011797,0.9798677870958035,0.22911575721950678,2013-14,2017-12-05T23:43:23.206,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612742_Total_2013-14,1610612742,Total,6857,3248,3,1.0523552574011958,1.145541570463184,1.0324697499755493,0.21943686382143315,2013-14,2017-12-05T23:43:23.206,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612743_Total_2013-14,1610612743,Total,7042,3147,2,0.9934677648395343,1.1397456278325404,0.9942830633887786,0.24277569266620053,2013-14,2017-12-05T23:43:23.206,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612744_Total_2013-14,1610612744,Total,7005,3236,2,1.0344039971448964,1.1533836660194297,1.0476186234159037,0.24014953633999822,2013-14,2017-12-05T23:43:23.206,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612745_Total_2013-14,1610612745,Total,6599,3114,3,1.061221397181391,1.1612829330287182,1.0545693450380593,0.23735234759767163,2013-14,2017-12-05T23:43:23.206,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612746_Total_2013-14,1610612746,Total,6754,3206,3,1.051673082617708,1.1420416453253446,1.054321853373394,0.2390318209439024,2013-14,2017-12-05T23:43:23.206,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
1610612747_Total_2013-14,1610612747,Total,6973,3138,2,1.0108991825613078,1.154317844545541,0.9886955244276642,0.22684657591634774,2013-14,2017-12-05T23:43:23.206,1610612747_2017-18,1610612747,Lakers,LAL,"Los Angeles",2017-18
1610612748_Total_2013-14,1610612748,Total,6272,3142,3,1.1079400510204083,1.1429913834008913,1.061086936415288,0.2275875066441288,2013-14,2017-12-05T23:43:23.206,1610612748_2017-18,1610612748,Heat,MIA,Miami,2017-18
1610612749_Total_2013-14,1610612749,Total,6723,2946,2,0.9579056968615202,1.1147922496860754,0.9808412729051184,0.2192718878639332,2013-14,2017-12-05T23:43:23.206,1610612749_2017-18,1610612749,Bucks,MIL,Milwaukee,2017-18
1610612750_Total_2013-14,1610612750,Total,7173,3188,3,0.972396486825596,1.1179270279721174,0.9771090759498225,0.2229339423471046,2013-14,2017-12-05T23:43:23.206,1610612750_2017-18,1610612750,Timberwolves,MIN,Minnesota,2017-18
1610612751_Total_2013-14,1610612751,Total,6390,2930,2,1.0278560250391235,1.1539577150251965,1.0129253526341628,0.2117661661877072,2013-14,2017-12-05T23:43:23.206,1610612751_2017-18,1610612751,Nets,BKN,Brooklyn,2017-18
1610612752_Total_2013-14,1610612752,Total,6739,3027,2,1.0109808576940198,1.156617214037884,0.993995849876041,0.21725959632804182,2013-14,2017-12-05T23:43:23.206,1610612752_2017-18,1610612752,Knicks,NYK,"New York",2017-18
1610612753_Total_2013-14,1610612753,Total,6782,3021,2,0.9737540548510764,1.1170990930207536,0.9909617031664641,0.21095109881689517,2013-14,2017-12-05T23:43:23.206,1610612753_2017-18,1610612753,Magic,ORL,Orlando,2017-18
1610612754_Total_2013-14,1610612754,Total,6572,2949,3,0.9811320754716981,1.1183510746611725,0.9857647557294001,0.2093989903490154,2013-14,2017-12-05T23:43:23.206,1610612754_2017-18,1610612754,Pacers,IND,Indiana,2017-18
1610612755_Total_2013-14,1610612755,Total,7113,3099,2,0.9517784338535077,1.1130692246878895,0.9557472062961777,0.2563955461827564,2013-14,2017-12-05T23:43:23.206,1610612755_2017-18,1610612755,76ers,PHI,Philadelphia,2017-18
1610612756_Total_2013-14,1610612756,Total,6843,3171,2,1.0384334356276488,1.1547569815583394,1.0071914931331274,0.2157473409661801,2013-14,2017-12-05T23:43:23.206,1610612756_2017-18,1610612756,Suns,PHX,Phoenix,2017-18
1610612757_Total_2013-14,1610612757,Total,7134,3207,2,1.007008690776563,1.150544389465616,1.012977513218349,0.21293364024628808,2013-14,2017-12-05T23:43:23.206,1610612757_2017-18,1610612757,"Trail Blazers",POR,Portland,2017-18
1610612758_Total_2013-14,1610612758,Total,6766,3026,2,0.9670410877919007,1.103004935643799,0.9551833359832835,0.22721469778318512,2013-14,2017-12-05T23:43:23.206,1610612758_2017-18,1610612758,Kings,SAC,Sacramento,2017-18
1610612759_Total_2013-14,1610612759,Total,6843,3326,2,1.0740903112669882,1.1404020183405836,1.0495515631979107,0.2241199110493812,2013-14,2017-12-05T23:43:23.206,1610612759_2017-18,1610612759,Spurs,SAS,"San Antonio",2017-18
