primaryKey,teamId,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,teamId,teamName,teamAbbreviation,teamCity,season
1610612737_Total_2016-17,1610612737,Total,6913,3122,2,1.0085346448719803,1.1471066537589727,1.0150877871354376,0.24278402323606005,2016-17,2017-12-05T23:44:16.846,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612738_Total_2016-17,1610612738,Total,6975,3166,3,1.0487455197132616,1.1918135647963217,1.0211215829923757,0.22784362228710794,2016-17,2017-12-05T23:44:16.846,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612739_Total_2016-17,1610612739,Total,6956,3273,3,1.0941633122484187,1.2043458678069903,1.0593943676446003,0.23111975287175782,2016-17,2017-12-05T23:44:16.846,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612740_Total_2016-17,1610612740,Total,7125,3208,2,1.008,1.149983615443959,1.0003128559546683,0.2381873288407827,2016-17,2017-12-05T23:44:16.846,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612741_Total_2016-17,1610612741,Total,7138,3169,3,0.9752031381339311,1.1230419250925505,0.971427756598957,0.24146368682220928,2016-17,2017-12-05T23:44:16.846,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612742_Total_2016-17,1610612742,Total,6612,2919,3,1.0128554143980641,1.178804756877095,1.0039587017179967,0.2699314094664036,2016-17,2017-12-05T23:44:16.846,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612743_Total_2016-17,1610612743,Total,7190,3377,2,1.0603616133518776,1.165916226877075,1.0247847193304627,0.2294102127544351,2016-17,2017-12-05T23:44:16.846,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612744_Total_2016-17,1610612744,Total,7139,3531,2,1.1266283793248355,1.1816124003070905,1.0964166526861985,0.2522864046768811,2016-17,2017-12-05T23:44:16.846,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612745_Total_2016-17,1610612745,Total,7145,3302,2,1.089153254023793,1.2192880356224818,1.0769106978836138,0.23117886250163802,2016-17,2017-12-05T23:44:16.846,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612746_Total_2016-17,1610612746,Total,6789,3233,3,1.0749742230078068,1.1670614478720966,1.0362915038883393,0.23150426677047062,2016-17,2017-12-05T23:44:16.846,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
1610612747_Total_2016-17,1610612747,Total,7140,3216,2,1.0019607843137255,1.1416468367506112,0.988147807194967,0.24095757789327932,2016-17,2017-12-05T23:44:16.846,1610612747_2017-18,1610612747,Lakers,LAL,"Los Angeles",2017-18
1610612748_Total_2016-17,1610612748,Total,7030,3200,2,1.0250355618776672,1.1590201471235,1.01793560213794,0.2639943951193802,2016-17,2017-12-05T23:44:16.846,1610612748_2017-18,1610612748,Heat,MIA,Miami,2017-18
1610612749_Total_2016-17,1610612749,Total,6701,3175,2,1.0540217877928668,1.147295835905917,1.0272162038272097,0.25326627781167993,2016-17,2017-12-05T23:44:16.846,1610612749_2017-18,1610612749,Bucks,MIL,Milwaukee,2017-18
1610612750_Total_2016-17,1610612750,Total,6921,3235,2,1.0216731686172518,1.1225158175016958,1.0130795813463265,0.25149001793265535,2016-17,2017-12-05T23:44:16.846,1610612750_2017-18,1610612750,Timberwolves,MIN,Minnesota,2017-18
1610612751_Total_2016-17,1610612751,Total,6985,3101,3,1.0133142448103079,1.1730547812094934,1.0072809011116275,0.23431352700348984,2016-17,2017-12-05T23:44:16.846,1610612751_2017-18,1610612751,Nets,BKN,Brooklyn,2017-18
1610612752_Total_2016-17,1610612752,Total,7254,3243,2,0.9910394265232975,1.1360703559629608,0.9824439118590392,0.21881294199362064,2016-17,2017-12-05T23:44:16.846,1610612752_2017-18,1610612752,Knicks,NYK,"New York",2017-18
1610612753_Total_2016-17,1610612753,Total,7130,3138,2,0.9784011220196354,1.137569181521571,0.9900256473050725,0.23445670239843622,2016-17,2017-12-05T23:44:16.846,1610612753_2017-18,1610612753,Magic,ORL,Orlando,2017-18
1610612754_Total_2016-17,1610612754,Total,6918,3211,2,1.029343740965597,1.1411666112120828,0.9897347710069228,0.22679864472158875,2016-17,2017-12-05T23:44:16.846,1610612754_2017-18,1610612754,Pacers,IND,Indiana,2017-18
1610612755_Total_2016-17,1610612755,Total,6977,3082,2,1.0017199369356458,1.16393042523761,0.9974391748377007,0.24398649892140867,2016-17,2017-12-05T23:44:16.846,1610612755_2017-18,1610612755,76ers,PHI,Philadelphia,2017-18
1610612756_Total_2016-17,1610612756,Total,7258,3270,2,0.9858087627445578,1.1198218020563664,0.9855867327996055,0.24771343436858373,2016-17,2017-12-05T23:44:16.846,1610612756_2017-18,1610612756,Suns,PHX,Phoenix,2017-18
1610612757_Total_2016-17,1610612757,Total,7057,3241,2,1.0389684001700439,1.166115264808594,1.0176603173188032,0.22352783491628106,2016-17,2017-12-05T23:44:16.846,1610612757_2017-18,1610612757,"Trail Blazers",POR,Portland,2017-18
1610612758_Total_2016-17,1610612758,Total,6727,3100,2,1.0304742084138545,1.1513109872392253,1.0040440947776303,0.23492389188564824,2016-17,2017-12-05T23:44:16.846,1610612758_2017-18,1610612758,Kings,SAC,Sacramento,2017-18
1610612759_Total_2016-17,1610612759,Total,6815,3202,2,1.0487160674981657,1.1509558543503222,1.0475993588678638,0.231295352790733,2016-17,2017-12-05T23:44:16.846,1610612759_2017-18,1610612759,Spurs,SAS,"San Antonio",2017-18
1610612760_Total_2016-17,1610612760,Total,7168,3236,3,0.9993024553571429,1.1354301045682917,0.9921925228839034,0.23531282295947922,2016-17,2017-12-05T23:44:16.846,1610612760_2017-18,1610612760,Thunder,OKC,"Oklahoma City",2017-18
1610612761_Total_2016-17,1610612761,Total,6914,3211,2,1.0336997396586636,1.1460556017865675,1.0104501953889231,0.23470919376676713,2016-17,2017-12-05T23:44:16.846,1610612761_2017-18,1610612761,Raptors,TOR,Toronto,2017-18
1610612762_Total_2016-17,1610612762,Total,6514,3033,3,1.052655818237642,1.1668417451939466,1.0354173186111573,0.2356216634489592,2016-17,2017-12-05T23:44:16.846,1610612762_2017-18,1610612762,Jazz,UTA,Utah,2017-18
1610612763_Total_2016-17,1610612763,Total,6850,2982,2,0.9823357664233576,1.155302761704743,0.9922576455741636,0.24039483634630363,2016-17,2017-12-05T23:44:16.846,1610612763_2017-18,1610612763,Grizzlies,MEM,Memphis,2017-18
1610612764_Total_2016-17,1610612764,Total,7129,3385,2,1.055267218403703,1.1462199926539502,1.0191944065430834,0.2400872311770119,2016-17,2017-12-05T23:44:16.846,1610612764_2017-18,1610612764,Wizards,WAS,Washington,2017-18
1610612765_Total_2016-17,1610612765,Total,7278,3268,2,0.9846111569112393,1.122252160002907,0.961868059041351,0.22988774742788665,2016-17,2017-12-05T23:44:16.846,1610612765_2017-18,1610612765,Pistons,DET,Detroit,2017-18
1610612766_Total_2016-17,1610612766,Total,6994,3092,2,1.0020017157563625,1.1633751775883738,0.9768753887827866,0.20833866561007655,2016-17,2017-12-05T23:44:16.846,1610612766_2017-18,1610612766,Hornets,CHA,Charlotte,2017-18
