primaryKey,teamId,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,teamId,teamName,teamAbbreviation,teamCity,season
1610612737_Total_2014-15,1610612737,Total,6809,2989,2,0.9834043178146571,1.147201201168792,1.0071611228407407,0.23526844345799977,2014-15,2017-12-05T23:43:38.494,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612738_Total_2014-15,1610612738,Total,6940,3124,2,0.9877521613832853,1.1234954033217008,0.9960405809040362,0.22975814746583412,2014-15,2017-12-05T23:43:38.494,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612739_Total_2014-15,1610612739,Total,6843,3119,2,1.0042379073505772,1.1304557967672308,0.9934268105629427,0.22872873475254157,2014-15,2017-12-05T23:43:38.494,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612740_Total_2014-15,1610612740,Total,6800,3103,2,0.9916176470588235,1.1121337603296846,1.01294525954181,0.23091090885332127,2014-15,2017-12-05T23:43:38.494,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612741_Total_2014-15,1610612741,Total,7109,3095,2,0.9464059642706428,1.106419373787166,0.9843885631168137,0.22823079893199594,2014-15,2017-12-05T23:43:38.494,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612742_Total_2014-15,1610612742,Total,6760,3042,3,1.0071005917159763,1.1494569834253172,1.002797082135444,0.2321230969091589,2014-15,2017-12-05T23:43:38.494,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612743_Total_2014-15,1610612743,Total,6824,3128,2,1.007913247362251,1.1284431927958445,1.004000690678868,0.23093258534261232,2014-15,2017-12-05T23:43:38.494,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612744_Total_2014-15,1610612744,Total,7084,3031,2,0.9392998306041784,1.1167010814710072,0.9769919969564276,0.23724289131230175,2014-15,2017-12-05T23:43:38.494,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612745_Total_2014-15,1610612745,Total,6974,3091,3,0.973186119873817,1.1222893485029157,1.0043081533539202,0.23488650086726987,2014-15,2017-12-05T23:43:38.494,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612746_Total_2014-15,1610612746,Total,6740,2983,2,0.9864985163204748,1.1418509730506132,0.9994383352443635,0.24058757792322089,2014-15,2017-12-05T23:43:38.494,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
1610612747_Total_2014-15,1610612747,Total,6811,3176,2,1.0343561885185728,1.1419549787007206,1.0191744432352772,0.2274730742949376,2014-15,2017-12-05T23:43:38.494,1610612747_2017-18,1610612747,Lakers,LAL,"Los Angeles",2017-18
1610612748_Total_2014-15,1610612748,Total,6523,2960,2,1.0096581327609995,1.142894353087987,1.0115342551332547,0.22631456375779097,2014-15,2017-12-05T23:43:38.494,1610612748_2017-18,1610612748,Heat,MIA,Miami,2017-18
1610612749_Total_2014-15,1610612749,Total,6678,2917,2,0.9748427672955975,1.1415125278719978,1.0173226790154484,0.23324538290649593,2014-15,2017-12-05T23:43:38.494,1610612749_2017-18,1610612749,Bucks,MIL,Milwaukee,2017-18
1610612750_Total_2014-15,1610612750,Total,6947,3379,2,1.0731250899668923,1.1382644489339877,1.0139763660734773,0.22966963115724384,2014-15,2017-12-05T23:43:38.494,1610612750_2017-18,1610612750,Timberwolves,MIN,Minnesota,2017-18
1610612751_Total_2014-15,1610612751,Total,6909,3148,2,1.0117238384715588,1.140705317754999,1.0069306530919109,0.23121000783436654,2014-15,2017-12-05T23:43:38.494,1610612751_2017-18,1610612751,Nets,BKN,Brooklyn,2017-18
1610612752_Total_2014-15,1610612752,Total,6588,3029,2,1.0245901639344261,1.1465224467594501,1.0114378826346633,0.2304756588871688,2014-15,2017-12-05T23:43:38.494,1610612752_2017-18,1610612752,Knicks,NYK,"New York",2017-18
1610612753_Total_2014-15,1610612753,Total,6714,3110,3,1.0278522490318738,1.1417152869520104,0.9928317081196768,0.23077792238598385,2014-15,2017-12-05T23:43:38.494,1610612753_2017-18,1610612753,Magic,ORL,Orlando,2017-18
1610612754_Total_2014-15,1610612754,Total,6778,2947,2,0.9567719091177338,1.1223693329949935,0.9805925803295776,0.2331567895754545,2014-15,2017-12-05T23:43:38.494,1610612754_2017-18,1610612754,Pacers,IND,Indiana,2017-18
1610612755_Total_2014-15,1610612755,Total,6784,3045,2,0.9946933962264151,1.1362000763691995,1.0177066707257179,0.22770798480497084,2014-15,2017-12-05T23:43:38.494,1610612755_2017-18,1610612755,76ers,PHI,Philadelphia,2017-18
1610612756_Total_2014-15,1610612756,Total,6875,3102,2,0.993890909090909,1.1289089450797365,1.0064023215429867,0.22679488820846577,2014-15,2017-12-05T23:43:38.494,1610612756_2017-18,1610612756,Suns,PHX,Phoenix,2017-18
1610612757_Total_2014-15,1610612757,Total,7118,3127,2,0.9520932846305142,1.1036901888132828,0.9813001407141754,0.23128641875269135,2014-15,2017-12-05T23:43:38.494,1610612757_2017-18,1610612757,"Trail Blazers",POR,Portland,2017-18
1610612758_Total_2014-15,1610612758,Total,7071,3230,3,1.0151322302361758,1.1421013695405715,0.9959709762649416,0.23144804310304637,2014-15,2017-12-05T23:43:38.494,1610612758_2017-18,1610612758,Kings,SAC,Sacramento,2017-18
1610612759_Total_2014-15,1610612759,Total,6859,3043,2,0.9686543227875783,1.1149333384711724,0.9919950513332798,0.23484662273206452,2014-15,2017-12-05T23:43:38.494,1610612759_2017-18,1610612759,Spurs,SAS,"San Antonio",2017-18
1610612760_Total_2014-15,1610612760,Total,7008,3085,3,0.9777397260273972,1.1364226920460427,1.0159599906428387,0.22770287482172027,2014-15,2017-12-05T23:43:38.494,1610612760_2017-18,1610612760,Thunder,OKC,"Oklahoma City",2017-18
1610612761_Total_2014-15,1610612761,Total,6799,3125,2,1.0127959994116782,1.1315766729381982,1.0024548676517189,0.2246557380672101,2014-15,2017-12-05T23:43:38.494,1610612761_2017-18,1610612761,Raptors,TOR,Toronto,2017-18
1610612762_Total_2014-15,1610612762,Total,6583,2933,2,0.9826826674768343,1.1289370372081855,0.9922354245363776,0.2318380093060594,2014-15,2017-12-05T23:43:38.494,1610612762_2017-18,1610612762,Jazz,UTA,Utah,2017-18
1610612763_Total_2014-15,1610612763,Total,6656,2940,2,0.9825721153846154,1.1389346910056946,0.9956743968164697,0.23142117287519143,2014-15,2017-12-05T23:43:38.494,1610612763_2017-18,1610612763,Grizzlies,MEM,Memphis,2017-18
1610612764_Total_2014-15,1610612764,Total,6836,2964,3,0.9632826214160327,1.134450678010702,0.9760738237914973,0.23377590530751896,2014-15,2017-12-05T23:43:38.494,1610612764_2017-18,1610612764,Wizards,WAS,Washington,2017-18
1610612765_Total_2014-15,1610612765,Total,6807,3103,2,1.0049948582341708,1.1312974940748004,0.9980499821245835,0.23534042328946655,2014-15,2017-12-05T23:43:38.494,1610612765_2017-18,1610612765,Pistons,DET,Detroit,2017-18
1610612766_Total_2014-15,1610612766,Total,6862,3020,2,0.9747886913436316,1.1327404424142853,0.9841246909071538,0.22758483101284718,2014-15,2017-12-05T23:43:38.494,1610612766_2017-18,1610612766,Hornets,CHA,Charlotte,2017-18
