primaryKey,id,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,playerName
1626172_Total_2017-18,1626172,Total,349,169,3,1.0974212034383954,1.1735964354757153,1.062945081801228,0.2942133634078684,2017-18,2017-12-11T07:02:47.169,1626172,"Kevon Looney"
1626173_Total_2017-18,1626173,Total,171,80,2,1.0350877192982457,1.1388654292714009,0.9331352164621985,0.3083216244056536,2017-18,2017-12-11T07:02:47.169,1626173,"Rashad Vaughn"
1626177_Total_2017-18,1626177,Total,114,50,2,0.9824561403508771,1.1469445002583278,0.9731030866459754,0.34488763314843623,2017-18,2017-12-11T07:02:47.169,1626177,"Dakari Johnson"
1626178_Total_2017-18,1626178,Total,1131,494,2,0.9973474801061007,1.171044725569474,0.99593530052004,0.24998813827604524,2017-18,2017-12-11T07:02:47.169,1626178,"Rondae Hollis-Jefferson"
1626179_Total_2017-18,1626179,Total,1145,474,3,0.965938864628821,1.1886183736523241,0.9608568922040067,0.3004104134287143,2017-18,2017-12-11T07:02:47.169,1626179,"Terry Rozier"
1626181_Total_2017-18,1626181,Total,739,371,2,1.1312584573748308,1.168061629254052,1.0410160716479169,0.2722940346661394,2017-18,2017-12-11T07:02:47.169,1626181,"Norman Powell"
1626185_Total_2017-18,1626185,Total,682,284,2,0.9398826979472141,1.1478241500749797,0.9857250427169516,0.24394779715668807,2017-18,2017-12-11T07:02:47.169,1626185,"Jarell Martin"
1626192_Total_2017-18,1626192,Total,924,420,2,1.0183982683982684,1.1522081329525562,0.979033862357941,0.27361933326605403,2017-18,2017-12-11T07:02:47.169,1626192,"Pat Connaughton"
1626195_Total_2017-18,1626195,Total,277,122,3,0.9566787003610109,1.1070501741575596,0.9862350408613099,0.2898536891082957,2017-18,2017-12-11T07:02:47.169,1626195,"Willy Hernangomez"
1626196_Total_2017-18,1626196,Total,1409,637,2,1.042583392476934,1.1888543776826819,1.0175184463039673,0.2616594520856618,2017-18,2017-12-11T07:02:47.169,1626196,"Josh Richardson"
1626202_Total_2017-18,1626202,Total,179,79,2,0.9441340782122905,1.0868470640721501,0.9158071089206862,0.3469887520085859,2017-18,2017-12-11T07:02:47.169,1626202,"Joe Young"
1626203_Total_2017-18,1626203,Total,503,206,3,0.9224652087475149,1.1419840284151828,0.9465110038203782,0.3529791738580376,2017-18,2017-12-11T07:02:47.169,1626203,"Treveon Graham"
1626204_Total_2017-18,1626204,Total,601,264,2,0.9500831946755408,1.1009771003256017,0.9623285970447,0.2863503158072931,2017-18,2017-12-11T07:02:47.169,1626204,"Larry Nance Jr."
1626209_Total_2017-18,1626209,Total,394,178,2,1.0380710659898478,1.184104680096646,0.9528965923927942,0.30757591110389937,2017-18,2017-12-11T07:02:47.169,1626209,"Mario Hezonja"
1626220_Total_2017-18,1626220,Total,345,163,2,1.107246376811594,1.2146829777353094,0.945200754555361,0.34333475572820515,2017-18,2017-12-11T07:02:47.169,1626220,"Royce ONeale"
1626224_Total_2017-18,1626224,Total,198,94,2,1.1262626262626263,1.2305936695401505,1.043390868694781,0.35007692436956184,2017-18,2017-12-11T07:02:47.169,1626224,"Cedi Osman"
1626245_Total_2017-18,1626245,Total,542,216,3,0.9114391143911439,1.1555649705985764,0.9127938681854045,0.31074408575715773,2017-18,2017-12-11T07:02:47.169,1626245,"Cristiano Felicio"
1626257_Total_2017-18,1626257,Total,448,189,3,0.9732142857142857,1.1779963423767732,0.9897581897754487,0.32063747109682844,2017-18,2017-12-11T07:02:47.169,1626257,"Salah Mejri"
1627098_Total_2017-18,1627098,Total,617,270,2,0.9773095623987034,1.1427187106453482,0.9895592627678094,0.3168073231425606,2017-18,2017-12-11T07:02:47.169,1627098,"Malcolm Delaney"
1627732_Total_2017-18,1627732,Total,1653,773,2,1.0514216575922566,1.1600918771384952,1.0150221451108623,0.287997085797857,2017-18,2017-12-11T07:02:47.169,1627732,"Ben Simmons"
